Artist,Title,Air Time,Letter,First Word,Duration
Grace Jones,Breakdown,2018-11-29 08:10:00,B,Breakdown,6
Boz Scaggs,Breakdown Dead Ahead,2018-11-29 08:16:00,B,Breakdown,7
UB40,Breakfast In Bed,2018-11-29 08:23:00,B,Breakfast,3
Judas Priest,Breaking The Law,2018-11-29 08:26:00,B,Breaking,3
Joe Jackson,Breaking Us In Two,2018-11-29 08:29:00,B,Breaking,4
Depeche Mode,Breathing In Fumes,2018-11-29 08:33:00,B,Breathing,8
X,Breathless,2018-11-29 08:41:00,B,Breathless,2
Bruce Springsteen,Brilliant Disguise,2018-11-29 08:43:00,B,Brilliant,4
Elvis Costello,Brilliant Mistake,2018-11-29 08:47:00,B,Brilliant,7
Melissa Etheridge,Bring Me Some Water,2018-11-29 08:54:00,B,Bring,4
Echo & The Bunnymen,Bring On The Dancing Horses,2018-11-29 08:58:00,B,Bring,4
Public Enemy,Bring The Noise,2018-11-29 09:02:00,B,Bring,4
Def Leppard,Bringin' On The Heartbreak,2018-11-29 09:06:00,B,Bringin',6
Robbie Robertson,Broken Arrow,2018-11-29 09:12:00,B,Broken,5
Kissing The Pink,Broken Body,2018-11-29 09:17:00,B,Broken,5
Jason & The Scorchers,Broken Whiskey Glass,2018-11-29 09:22:00,B,Broken,4
Mr. Mister,Broken Wings,2018-11-29 09:26:00,B,Broken,6
Dire Straits,Brothers In Arms,2018-11-29 09:32:00,B,Brothers,7
Bob Dylan,Brownsville Girl,2018-11-29 09:39:00,B,Brownsville,13
"Joe ""King"" Carrasco And The Crowns",Buena,2018-11-29 09:52:00,B,Buena,3
The Golden Palominos,Buenos Aires,2018-11-29 09:55:00,B,Buenos,4
Malcolm McLaren,Buffalo Gals,2018-11-29 09:59:00,B,Buffalo,4
Bob Marley & The Wailers,Buffalo Soldier,2018-11-29 10:03:00,B,Buffalo,4
Neneh Cherry,Buffalo Stance,2018-11-29 10:07:00,B,Buffalo,8
U2,Bullet The Blue Sky,2018-11-29 10:15:00,B,Bullet,4
The Gap Band,Burn Rubber,2018-11-29 10:19:00,B,Burn,5
Blue Oyster Cult,Burnin' For You,2018-11-29 10:24:00,B,Burnin',5
Robert Plant,Burning Down One Side,2018-11-29 10:29:00,B,Burning,4
Talking Heads,Burning Down The House,2018-11-29 10:33:00,B,Burning,4
Madonna,Burning Up,2018-11-29 10:37:00,B,Burning,4
Lou Reed,Busload Of Faith,2018-11-29 10:41:00,B,Busload,5
The Stone Roses,Bye Bye Badman,2018-11-29 10:46:00,B,Bye,4
The Fall,C.R.E.E.P.,2018-11-29 10:50:00,C,C,4
Bow Wow Wow,"C30, C60, C90 Go",2018-11-29 10:54:00,C,C30,3
Look Blue Go Purple,Cactus Cat,2018-11-29 10:57:00,C,Cactus,3
Bruce Springsteen,Cadillac Ranch,2018-11-29 11:00:00,C,Cadillac,3
Blondie,Call Me,2018-11-29 11:03:00,C,Call,10
Go West,Call Me,2018-11-29 11:13:00,C,Call,4
A House,Call Me Blue,2018-11-29 11:17:00,C,Call,2
Jevetta Steele,Calling You,2018-11-29 11:19:00,C,Calling,8
Stan Ridgway,Camouflage,2018-11-29 11:27:00,C,Camouflage,5
New Edition,Can You Stand The Rain,2018-11-29 11:32:00,C,Can,4
The Police,Canary In A Coalmine,2018-11-29 11:36:00,C,Canary,4
Joe Jackson,Cancer,2018-11-29 11:40:00,C,Cancer,6
New Edition,Candy Girl,2018-11-29 11:46:00,C,Candy,4
Ben Watt,Can't,2018-11-29 11:50:00,C,Can't,5
REO Speedwagon,Can't Fight This Feeling Anymore,2018-11-29 11:55:00,C,Can't,5
The Colourfield,Can't Get Enough Of You Baby,2018-11-29 12:00:00,C,Can't,3
R. E. M.,Can't Get There From Here,2018-11-29 12:03:00,C,Can't,4
The English Beat,Can't Get Used To Losing You,2018-11-29 12:07:00,C,Can't,4
The Replacements,Can't Hardly Wait,2018-11-29 12:11:00,C,Can't,3
Alex Chilton,Can't Seem To Make You Mine,2018-11-29 12:14:00,C,Can't,3
Todd Rundgren,Can't Stop Running,2018-11-29 12:17:00,C,Can't,6
NRBQ,Captain Lou,2018-11-29 12:23:00,C,Captain,3
The Clash,Car Jamming,2018-11-29 12:26:00,C,Car,4
The Housemartins,Caravan Of Love,2018-11-29 12:30:00,C,Caravan,3
Wham!,Careless Whisper,2018-11-29 12:33:00,C,Careless,8
Billy Ocean,Caribbean Queen (No More Love On The Run),2018-11-29 12:41:00,C,Caribbean,4
R. E. M.,Carnival Of Sorts (Box Cars),2018-11-29 12:45:00,C,Carnival,4
Cocteau Twins,Carolyn's Fingers,2018-11-29 12:49:00,C,Carolyn's,3
Prefab Sprout,Cars And Girls,2018-11-29 12:52:00,C,Cars,5
Paul Simon,Cars Are Cars,2018-11-29 12:57:00,C,Cars,3
Albert Collins,Cash Talkin' (The Workingman's Blues),2018-11-29 13:00:00,C,Cash,5
Daniel Johnston,Casper the Friendly Ghost,2018-11-29 13:05:00,C,Casper,3
Beat Happening,Cast A Shadow,2018-11-29 13:08:00,C,Cast,4
The Armoury Show,Castles In Spain,2018-11-29 13:12:00,C,Castles,7
Suburban Wives Club,Casual Cat At A Laundromat,2018-11-29 13:19:00,C,Casual,2
David Bowie,Cat People (Putting Out Fire),2018-11-29 13:21:00,C,Cat,7
R. E. M.,Catapult,2018-11-29 13:28:00,C,Catapult,4
Womack & Womack,Catch And Don't Look Back,2018-11-29 13:32:00,C,Catch,4
Pretty Poison,Catch Me (I'm Falling),2018-11-29 13:36:00,C,Catch,6
Billy Idol,Catch My Fall,2018-11-29 13:42:00,C,Catch,4
The Bluebells,Cath,2018-11-29 13:46:00,C,Cath,3
The Jim Carroll Band,Catholic Boy,2018-11-29 13:49:00,C,Catholic,3
The Go-Betweens,Cattle And Cane,2018-11-29 13:52:00,C,Cattle,4
The Germs,Caught In My Eye,2018-11-29 13:56:00,C,Caught,4
Anita Baker,Caught Up In The Rapture,2018-11-29 14:00:00,C,Caught,5
Liquid Liquid,Cavern,2018-11-29 14:05:00,C,Cavern,6
Husker Du,Celebrated Summer,2018-11-29 14:11:00,C,Celebrated,5
Kool & The Gang,Celebration,2018-11-29 14:16:00,C,Celebration,4
The Smiths,Cemetry Gates,2018-11-29 14:20:00,C,Cemetry,3
John Fogerty,Centerfield,2018-11-29 14:23:00,C,Centerfield,4
The J. Geils Band,Centerfold,2018-11-29 14:27:00,C,Centerfold,6
Rebbie Jackson,Centipede,2018-11-29 14:33:00,C,Centipede,5
Joy Division,Ceremony (live),2018-11-29 14:38:00,C,Ceremony,4
New Order,Ceremony,2018-11-29 14:42:00,C,Ceremony,6
MC Lyte,Cha Cha Cha,2018-11-29 14:48:00,C,Cha,3
Joe Jackson,Cha Cha Loco,2018-11-29 14:51:00,C,Cha,5
Wire Train,Chamber Of Hellos,2018-11-29 14:56:00,C,Chamber,5
Muddy Waters,Champagne & Reefer,2018-11-29 15:01:00,C,Champagne,4
Tears For Fears,Change,2018-11-29 15:05:00,C,Change,6
De La Soul,Change In Speak,2018-11-29 15:11:00,C,Change,3
Tom Petty & The Heartbreakers,Change Of Heart,2018-11-29 15:14:00,C,Change,3
Robert Hazard & The Heroes,Change Reaction,2018-11-29 15:17:00,C,Change,6
Lucinda Williams,Changed The Locks,2018-11-29 15:23:00,C,Changed,4
B-52's,Channel Z,2018-11-29 15:27:00,C,Channel,5
Vangelis,Chariots of Fire,2018-11-29 15:32:00,C,Chariots,3
Husker Du,"Charity, Chastity, Prudence, And Hope",2018-11-29 15:35:00,C,Charity,4
The Clash,Charlie Don't Surf,2018-11-29 15:39:00,C,Charlie,4
The Vipers,Cheated And Lied,2018-11-29 15:43:00,C,Cheated,2
John Mellencamp,Check It Out,2018-11-29 15:45:00,C,Check,4
John Mellencamp,Cherry Bomb,2018-11-29 15:49:00,C,Cherry,6
UB40,Cherry Oh Baby,2018-11-29 15:55:00,C,Cherry,4
Sade,Cherry Pie,2018-11-29 15:59:00,C,Cherry,7
Slick Rick,Children's Story,2018-11-29 16:06:00,C,Children's,6
Red Rockers,China,2018-11-29 16:12:00,C,China,4
David Bowie,China Girl,2018-11-29 16:16:00,C,China,4
Joe Jackson,Chinatown,2018-11-29 16:20:00,C,Chinatown,5
The Ramones,Chinese Rock,2018-11-29 16:25:00,C,Chinese,3
Siouxsie & The Banshees,Christine,2018-11-29 16:28:00,C,Christine,3
The House Of Love,Christine,2018-11-29 16:31:00,C,Christine,5
Kurtis Blow,Christmas Rappin',2018-11-29 16:36:00,C,Christmas,4
The Waitresses,Christmas Wrapping,2018-11-29 16:40:00,C,Christmas,8
The Flaming Lips,Chrome Plated Suicide,2018-11-29 16:48:00,C,Chrome,6
The Waterboys,Church Not Made With Hands,2018-11-29 16:54:00,C,Church,6
Christian Death,Church Of No Return,2018-11-29 17:00:00,C,Church,6
Culture Club,Church Of The Poison Mind,2018-11-29 17:06:00,C,Church,4
War,Cinco De Mayo,2018-11-29 17:10:00,C,Cinco,4
Atlantic Starr,Circles,2018-11-29 17:14:00,C,Circles,7
Siouxsie & The Banshees,Cities In Dust,2018-11-29 17:21:00,C,Cities,4
Way Of The West,City For Lovers,2018-11-29 17:25:00,C,City,7
Willie Nelson,City Of New Orleans,2018-11-29 17:32:00,C,City,7
My Bloody Valentine,Clair,2018-11-29 17:39:00,C,Clair,2
Tom Waits,Clap Hands,2018-11-29 17:41:00,C,Clap,4
Bob Dylan,Clean Cut Kid,2018-11-29 17:45:00,C,Clean,7
Descendents,Clean Sheets,2018-11-29 17:52:00,C,Clean,3
Van Morrison,Cleaning Windows,2018-11-29 17:55:00,C,Cleaning,5
Alice Cooper,Clones (We're All),2018-11-29 18:00:00,C,Clones,3
Art Of Noise,Close (To The Edit),2018-11-29 18:03:00,C,Close,5
The Cure,Close to Me,2018-11-29 18:08:00,C,Close,5
Indigo Girls,Closer To Fine,2018-11-29 18:13:00,C,Closer,1
Indigo Girls,Closer To Fine,2018-11-29 18:14:00,C,Closer,3
Soul Asylum,Closer To The Stars,2018-11-29 18:17:00,C,Closer,3
George Harrison,Cloud Nine,2018-11-29 18:20:00,C,Cloud,4
Kate Bush,Cloudbusting,2018-11-29 18:24:00,C,Cloudbusting,6
Elvis Costello,Clubland,2018-11-29 18:30:00,C,Clubland,4
Big Audio Dynamite,C'mon Every Beatbox,2018-11-29 18:34:00,C,C'mon,4
Neil Young,Coastline,2018-11-29 18:38:00,C,Coastline,5
Rick James,Cold Blooded,2018-11-29 18:43:00,C,Cold,6
Paula Abdul,Cold Hearted,2018-11-29 18:49:00,C,Cold,4
Stevie Ray Vaughan,Cold Shot,2018-11-29 18:53:00,C,Cold,4
The Godfathers,Cold Turkey,2018-11-29 18:57:00,C,Cold,5
The Replacements,Color Me Impressed,2018-11-29 19:02:00,C,Color,2
Au Pairs,Come Again,2018-11-29 19:04:00,C,Come,6
Hoodoo Gurus,Come Anytime,2018-11-29 19:10:00,C,Come,3
The J. Geils Band,Come Back,2018-11-29 19:13:00,C,Come,7
Paul Young,Come Back And Stay,2018-11-29 19:20:00,C,Come,5
The Kinks,Come Dancing,2018-11-29 19:25:00,C,Come,3
Spacemen 3,Come Down Easy,2018-11-29 19:28:00,C,Come,7
14 Iced Bears,Come Get Me,2018-11-29 19:35:00,C,Come,4
Dexy's Midnight Runners,Come On Eileen,2018-11-29 19:39:00,C,Come,4
John Lennon,Come Together,2018-11-29 19:43:00,C,Come,4
Bob Marley & The Wailers,Coming In From The Cold,2018-11-29 19:47:00,C,Coming,5
Peter Tosh,Coming In Hot,2018-11-29 19:52:00,C,Coming,4
Paul McCartney,Coming Up,2018-11-29 19:56:00,C,Coming,4
B-52's,Communicate,2018-11-29 20:00:00,C,Communicate,4
Todd Rundgren,Compassion,2018-11-29 20:04:00,C,Compassion,8
Kirsty MacColl,Complainte Pour Ste Catherine,2018-11-29 20:12:00,C,Complainte,3
Prince & The Revolution,Computer Blue,2018-11-29 20:15:00,C,Computer,4
Kraftwerk,Computer Love,2018-11-29 20:19:00,C,Computer,8
New Order,"Confusion 12""",2018-11-29 20:27:00,C,Confusion,8
Traveling Wilburys,Congratulations,2018-11-29 20:35:00,C,Congratulations,4
Ziggy Marley,Conscious Party,2018-11-29 20:39:00,C,Conscious,6
Sting,Consider Me Gone,2018-11-29 20:45:00,C,Consider,4
Phish,Contact,2018-11-29 20:49:00,C,Contact,7
Prince,Controversy,2018-11-29 20:56:00,C,Controversy,4
Pylon,Cool,2018-11-29 21:00:00,C,Cool,3
The Offs,Cool Down,2018-11-29 21:03:00,C,Cool,4
Paul Davis,Cool Night,2018-11-29 21:07:00,C,Cool,4
Sparks & Jane Wiedlin,Cool Places,2018-11-29 21:11:00,C,Cool,6
Terry Cashman,Cooperstown (The Town Where Baseball Lives),2018-11-29 21:17:00,C,Cooperstown,4
Steve Earle,Copperhead Road,2018-11-29 21:21:00,C,Copperhead,5
Minutemen,Corona,2018-11-29 21:26:00,C,Corona,3
Yeah Yeah Noh,Cottage Industry,2018-11-29 21:29:00,C,Cottage,4
Bob Marley & The Wailers,Could You Be Loved,2018-11-29 21:33:00,C,Could,4
Stevie Ray Vaughan,Couldn't Stand The Weather,2018-11-29 21:37:00,C,Couldn't,6
Bruce Springsteen,Cover Me,2018-11-29 21:43:00,C,Cover,3
Bow Wow Wow,Cowboy,2018-11-29 21:46:00,C,Cowboy,4
Lyle Lovett,Cowboy Man,2018-11-29 21:50:00,C,Cowboy,4
Bush Tetras,Cowboys In Africa,2018-11-29 21:54:00,C,Cowboys,3
A.R. Kane,Crack Up,2018-11-29 21:57:00,C,Crack,5
The Primitives,Crash,2018-11-29 22:02:00,C,Crash,2
Pete Townshend,Crashing By Design,2018-11-29 22:04:00,C,Crashing,3
The Pastels,Crawl Babies,2018-11-29 22:07:00,C,Crawl,5
Jesse Johnson,Crazay,2018-11-29 22:12:00,C,Crazay,4
Pylon,Crazy,2018-11-29 22:16:00,C,Crazy,3
Madonna,Crazy For You,2018-11-29 22:19:00,C,Crazy,5
Indigo Girls,Crazy Game,2018-11-29 22:24:00,C,Crazy,3
Queen,Crazy Little Thing Called Love,2018-11-29 22:27:00,C,Crazy,2
Josef K,Crazy To Exist,2018-11-29 22:29:00,C,Crazy,3
Ozzy Osbourne,Crazy Train,2018-11-29 22:32:00,C,Crazy,6
Talking Heads,Creatures Of Love,2018-11-29 22:38:00,C,Creatures,4
Young Marble Giants,Credit In The Straight World,2018-11-29 22:42:00,C,Credit,3
Joan Jett And The Blackhearts,Crimson & Clover,2018-11-29 22:45:00,C,Crimson,5
Jaco Pastorius,Crisis,2018-11-29 22:50:00,C,Crisis,5
Ultramagnetic MC's,Critical Beatdown,2018-11-29 22:55:00,C,Critical,4
Talking Heads,Crosseyed And Painless,2018-11-29 22:59:00,C,Crosseyed,5
Stevie Ray Vaughan,Crossfire,2018-11-29 23:04:00,C,Crossfire,5
Bananarama,Cruel Summer,2018-11-29 23:09:00,C,Cruel,4
The Fall,Cruiser's Creek,2018-11-29 23:13:00,C,Cruiser's,4
Bruce Springsteen,Crush On You,2018-11-29 23:17:00,C,Crush,5
Heaven 17,Crushed By The Wheels Of Industry,2018-11-29 23:22:00,C,Crushed,6
Godley & Creme,Cry,2018-11-29 23:28:00,C,Cry,4
Iggy Pop,Cry For Love,2018-11-29 23:32:00,C,Cry,5
Felt,Crystal Ball,2018-11-29 23:37:00,C,Crystal,3
Living Colour,Cult Of Personality,2018-11-29 23:40:00,C,Cult,5
Peter Murphy,Cuts You Up,2018-11-29 23:45:00,C,Cuts,7
Marshall Crenshaw,Cynical Girl,2018-11-29 23:52:00,C,Cynical,2
The Flesh Eaters,Cyrano De Berger's Back,2018-11-29 23:54:00,C,Cyrano,4
Prince,D.M.S.R.,2018-11-29 23:58:00,D,D,8
Minutemen,D.'s Car Jam/Anxious Mo-Fo,2018-11-30 00:06:00,D,D,4
Wipers,D-7,2018-11-30 00:10:00,D,D-7,4
E. U.,Da' Butt,2018-11-30 00:14:00,D,Da',3
Trio,Da Da Da,2018-11-30 00:17:00,D,Da,3
Was (Not Was),"Dad, I'm In Jail",2018-11-30 00:20:00,D,Dad,3
The Dream Syndicate,Daddy's Girl,2018-11-30 00:23:00,D,Daddy's,3
Ben Vaughn,Daddy's Gone For Good,2018-11-30 00:26:00,D,Daddy's,3
Black Flag,Damaged II,2018-11-30 00:29:00,D,Damaged,3
The Rolling Stones,Dance (pt.1),2018-11-30 00:32:00,D,Dance,5
Wang Chung,Dance Hall Days,2018-11-30 00:37:00,D,Dance,4
ESG,Dance To The Beat Of Moody,2018-11-30 00:41:00,D,Dance,7
Lords Of The New Church,Dance With Me,2018-11-30 00:48:00,D,Dance,7
Steve Arrington,Dancin' In The Key Of Life,2018-11-30 00:55:00,D,Dancin',5
U2,Dancing Barefoot,2018-11-30 01:00:00,D,Dancing,4
Berlin,"Dancing In Berlin 12""",2018-11-30 01:04:00,D,Dancing,6
Q-Feel,Dancing In Heaven (Orbital Be-Bop),2018-11-30 01:10:00,D,Dancing,3
The Raincoats,Dancing In My Head,2018-11-30 01:13:00,D,Dancing,5
Bruce Springsteen,Dancing In The Dark,2018-11-30 01:18:00,D,Dancing,5
David Bowie & Mick Jagger,Dancing In The Street,2018-11-30 01:23:00,D,Dancing,3
Lionel Richie,Dancing On The Ceiling,2018-11-30 01:26:00,D,Dancing,4
Generation X,Dancing With Myself,2018-11-30 01:30:00,D,Dancing,4
Ultravox,Dancing With Tears In My Eyes,2018-11-30 01:34:00,D,Dancing,6
The Motels,Danger,2018-11-30 01:40:00,D,Danger,3
Kenny Loggins,Danger Zone,2018-11-30 01:43:00,D,Danger,4
Poster Children,Dangerous Life,2018-11-30 01:47:00,D,Dangerous,2
Brigit Novik & M,Danube,2018-11-30 01:49:00,D,Danube,4
Weird Al Yankovic,Dare To Be Stupid,2018-11-30 01:53:00,D,Dare,4
Strawberry Switchblade,Dark 7,2018-11-30 01:57:00,D,Dark,3
Bauhaus,Dark Entries,2018-11-30 02:00:00,D,Dark,4
The Blasters,Dark Night,2018-11-30 02:04:00,D,Dark,3
The Pogues,Dark Streets Of London,2018-11-30 02:07:00,D,Dark,4
The Jesus And Mary Chain,Darklands,2018-11-30 02:11:00,D,Darklands,6
Prince & The Revolution,Darling Nikki,2018-11-30 02:17:00,D,Darling,4
Bruce Springsteen,Darlington County,2018-11-30 02:21:00,D,Darlington,5
The Hooters,Day By Day,2018-11-30 02:26:00,D,Day,3
The Pretenders,Day By Day,2018-11-30 02:29:00,D,Day,4
The Police,"De Do Do Do, De Da Da Da",2018-11-30 02:33:00,D,De,5
The Pixies,Dead,2018-11-30 02:38:00,D,Dead,2
Oingo Boingo,Dead Man's Party,2018-11-30 02:40:00,D,Dead,6
Husker Du,Dead Set On Destruction,2018-11-30 02:46:00,D,Dead,4
Joy Division,Dead Souls,2018-11-30 02:50:00,D,Dead,5
B-52's,Deadbeat Club,2018-11-30 02:55:00,D,Deadbeat,4
Nick Cave & The Bad Seeds,Deanna,2018-11-30 02:59:00,D,Deanna,4
XTC,Dear God,2018-11-30 03:03:00,D,Dear,4
Willie Nile,Dear Lord,2018-11-30 03:07:00,D,Dear,7
John Lennon,Dear Yoko,2018-11-30 03:14:00,D,Dear,3
Sonic Youth,Death Valley '69,2018-11-30 03:17:00,D,Death,5
The Pixies,Debaser,2018-11-30 03:22:00,D,Debaser,3
The Vulgar Boatmen,Decision By The Airport,2018-11-30 03:25:00,D,Decision,3
B-52's,Deep Sleep,2018-11-30 03:28:00,D,Deep,3
Kate Bush,Deeper Understanding,2018-11-30 03:31:00,D,Deeper,5
Prince,Delirious,2018-11-30 03:36:00,D,Delirious,4
The Police,Demolition Man,2018-11-30 03:40:00,D,Demolition,6
Steve Martin,Dentist!,2018-11-30 03:46:00,D,Dentist,3
After The Fire,Der Kommisar,2018-11-30 03:49:00,D,Der,4
Gene Loves Jezebel,Desire,2018-11-30 03:53:00,D,Desire,4
Talk Talk,Desire,2018-11-30 03:57:00,D,Desire,7
U2,Desire,2018-11-30 04:04:00,D,Desire,5
Adam Ant,Desperate But Not Serious,2018-11-30 04:09:00,D,Desperate,3
Missing Persons,Destination Unknown,2018-11-30 04:12:00,D,Destination,4
The Kinks,Destroyer,2018-11-30 04:16:00,D,Destroyer,5
INXS,Devil Inside,2018-11-30 04:21:00,D,Devil,5
Paul Simon,Diamonds On The Soles Of Her Shoes,2018-11-30 04:26:00,D,Diamonds,6
Richard and Linda Thompson,Did She Jump or Was She Pushed?,2018-11-30 04:32:00,D,Did,4
Van Morrison,Did Ye Get Healed?,2018-11-30 04:36:00,D,Did,5
The Who,Did You Steal My Money?,2018-11-30 04:41:00,D,Did,4
Chris Isaak,Diddley Daddy,2018-11-30 04:45:00,D,Diddley,4
Whitney Houston,Didn't We Almost Have It All,2018-11-30 04:49:00,D,Didn't,6
U-Men,Dig It A Hole,2018-11-30 04:55:00,D,Dig,3
Hoodoo Gurus,Dig It Up,2018-11-30 04:58:00,D,Dig,4
The Blow Monkeys,Digging Your Scene,2018-11-30 05:02:00,D,Digging,4
George Kranz,"Din Daa Daa 12""",2018-11-30 05:06:00,D,Din,7
Lou Reed,Dirty Blvd.,2018-11-30 05:13:00,D,Dirty,3
Michael Jackson,Dirty Diana,2018-11-30 05:16:00,D,Dirty,5
Prince,Dirty Mind,2018-11-30 05:21:00,D,Dirty,3
David Byrne,Dirty Old Town,2018-11-30 05:24:00,D,Dirty,5
The Pogues,Dirty Old Town,2018-11-30 05:29:00,D,Dirty,4
The Rolling Stones,Dirty Work,2018-11-30 05:33:00,D,Dirty,4
Public Image Ltd.,Disappointed,2018-11-30 05:37:00,D,Disappointed,5
King Crimson,Discipline,2018-11-30 05:42:00,D,Discipline,6
Jackson Browne,Disco Apocalypse,2018-11-30 05:48:00,D,Disco,5
Skafish,Disgracing The Family Name,2018-11-30 05:53:00,D,Disgracing,3
The Residents,Diskomo (Remix),2018-11-30 05:56:00,D,Diskomo,5
Felt,Dismantled King Is Off The Throne,2018-11-30 06:01:00,D,Dismantled,3
Rush,Distant Early Warning,2018-11-30 06:04:00,D,Distant,7
Husker Du,Divide & Conquer,2018-11-30 06:11:00,D,Divide,3
Phish,Divided Sky,2018-11-30 06:14:00,D,Divided,16
1000 Mexicans,Diving For Pearls,2018-11-30 06:30:00,D,Diving,4
Randy Newman,Dixie Flyer,2018-11-30 06:34:00,D,Dixie,4
Throwing Muses,Dizzy,2018-11-30 06:38:00,D,Dizzy,5
The Kinks,Do It Again,2018-11-30 06:43:00,D,Do,4
Prince,Do It All Night,2018-11-30 06:47:00,D,Do,7
The Dirty Dozen Brass Band,Do It Fluid,2018-11-30 06:54:00,D,Do,6
Billy Idol,Do Not Stand In The Shadows,2018-11-30 07:00:00,D,Do,3
Culture Club,Do You Really Want To Hurt Me,2018-11-30 07:03:00,D,Do,6
The Ramones,Do You Remember Rock N' Roll Radio?,2018-11-30 07:09:00,D,Do,4
Bow Wow Wow,Do You Wanna Hold Me?,2018-11-30 07:13:00,D,Do,3
Joan Jett,Do You Wanna Touch Me,2018-11-30 07:16:00,D,Do,7
The Thompson Twins,Doctor! Doctor!,2018-11-30 07:23:00,D,Doctor,4
KLF,Doctorin The Tardis,2018-11-30 07:27:00,D,Doctorin,4
Adam & The Ants,Dog Eat Dog,2018-11-30 07:31:00,D,Dog,3
"The Jungle Brothers (w/ De La Soul, Queen Latifah, Q-Tip and Monie Love)",Doin' Our Own Dang,2018-11-30 07:34:00,D,Doin',6
Lou Reed,Doin' The Things That We Want To,2018-11-30 07:40:00,D,Doin',3
Dominatrix,Dominatrix Sleeps Tonight,2018-11-30 07:43:00,D,Dominatrix,10
Masters Of Reality,Domino,2018-11-30 07:53:00,D,Domino,4
Pet Shop Boys,Domino Dancing,2018-11-30 07:57:00,D,Domino,5
Weather Report,Domino Theory,2018-11-30 08:02:00,D,Domino,8
Billy Joel,Don't Ask Me Why,2018-11-30 08:10:00,D,Don't,0
