Artist,Title,Air Time_x,Letter_x,First Word,Duration_x,Year,Air Time_y,Letter_y,Duration_y
Devo,Freedom Of Choice,2018-12-01 04:29:00,F,Freedom,4,1980,2016-12-04 11:44:00,F,3
Steve Winwood,Freedom Overspill,2018-12-01 04:33:00,F,Freedom,6,1986,2016-12-04 11:50:00,F,6
Elvis Costello,From A Whisper To A Scream,2018-12-01 05:22:00,F,From,3,1981,2016-12-04 12:37:00,F,3
Peter Gabriel,Games Without Frontiers,2018-12-01 06:18:00,G,Games,4,1980,2016-12-04 14:27:00,G,4
XTC,Generals & Majors,2018-12-01 06:43:00,G,Generals,4,1980,2016-12-04 14:39:00,G,5
Tom Tom Club,Genius Of Love,2018-12-01 06:51:00,G,Genius,6,1981,2016-12-04 14:44:00,G,5
The Specials,Ghost Town,2018-12-01 07:50:00,G,Ghost,6,1981,2016-12-04 16:55:00,G,6
The Pixies,Gigantic,2018-12-01 08:10:00,G,Gigantic,3,1988,2016-12-04 17:11:00,G,4
Devo,Girl U Want,2018-12-01 08:28:00,G,Girl,3,1980,2016-12-04 17:50:00,G,4
Talking Heads,Girlfriend Is Better,2018-12-01 08:31:00,G,Girlfriend,8,1983,2016-12-04 18:05:00,G,8
Cyndi Lauper,Girls Just Want To Have Fun,2018-12-01 08:47:00,G,Girls,5,1988,2016-12-04 18:25:00,G,3
Duran Duran,Girls On Film,2018-12-01 08:52:00,G,Girls,4,1981,2016-12-04 18:28:00,G,3
U2,Gloria,2018-12-01 09:48:00,G,Gloria,5,1981,2016-12-04 20:21:00,G,5
Bruce Springsteen,Glory Days,2018-12-01 09:53:00,G,Glory,4,1984,2016-12-04 20:26:00,G,4
Bangles,Going Down To Liverpool,2018-12-01 10:18:00,G,Going,3,1984,2016-12-04 21:52:00,G,3
The Jam,Going Underground,2018-12-01 10:31:00,G,Going,3,1980,2016-12-04 22:25:00,G,2
The Stranglers,Golden Brown,2018-12-01 10:43:00,G,Golden,3,1988,2016-12-04 22:52:00,G,4
Violent Femmes,Gone Daddy Gone,2018-12-01 10:46:00,G,Gone,4,1983,2016-12-04 23:18:00,G,3
Pete Townshend,Gonna Get Ya,2018-12-01 10:50:00,G,Gonna,7,1980,2016-12-04 23:39:00,G,6
The Cramps,Goo Goo Muck,2018-12-01 10:57:00,G,Goo,3,1980,2016-12-04 23:49:00,G,4
Camper Van Beethoven,Good Guys And Bad Guys,2018-12-01 11:04:00,G,Good,3,1987,2016-12-05 00:09:00,G,4
Fine Young Cannibals,Good Thing,2018-12-01 11:07:00,G,Good,6,1988,2016-12-05 00:44:00,G,4
Steve Earle,Goodbye's All We've Got Left,2018-12-01 11:28:00,G,Goodbye's,3,1986,2016-12-05 01:12:00,G,4
Adam Ant,Goody Two Shoes,2018-12-01 11:37:00,G,Goody,4,1982,2016-12-05 01:23:00,G,3
Paul Simon,Graceland,2018-12-01 11:55:00,G,Graceland,5,1986,2016-12-05 02:14:00,G,5
Billy Bragg,Greetings To The New Brunette,2018-12-01 12:34:00,G,Greetings,5,1986,2016-12-05 03:08:00,G,4
Steve Earle,Guitar Town,2018-12-01 12:47:00,G,Guitar,2,1986,2016-12-05 03:29:00,G,4
Dwight Yoakam,"Guitars, Cadillacs",2018-12-01 12:54:00,G,Guitars,3,1986,2016-12-05 03:33:00,G,3
Fleetwood Mac,Gypsy,2018-12-01 13:05:00,G,Gypsy,5,1982,2016-12-05 03:38:00,G,4
Nick Lowe,Half A Boy And Half A Man,2018-12-01 13:19:00,H,Half,5,1984,2016-12-05 04:05:00,H,3
Leonard Cohen,Hallelujah,2018-12-01 13:30:00,H,Hallelujah,6,1984,2016-12-05 04:23:00,H,4
The Rolling Stones,Hang Fire,2018-12-01 13:52:00,H,Hang,3,1981,2016-12-05 05:00:00,H,2
Sade,Hang On To Your Love,2018-12-01 13:55:00,H,Hang,5,1984,2016-12-05 05:09:00,H,4
Toots Hibbert,Hard to Handle,2018-12-01 14:42:00,H,Hard,3,1988,2016-12-05 06:31:00,H,5
Bonnie Raitt,Have A Heart,2018-12-01 15:23:00,H,Have,5,1989,2016-12-05 07:01:00,H,5
John Hiatt,Have A Little Faith In Me,2018-12-01 15:28:00,H,Have,4,1987,2016-12-05 07:06:00,H,5
Nine Inch Nails,Head Like A Hole,2018-12-01 15:51:00,H,Head,5,1989,2016-12-05 08:00:00,H,5
The Jesus And Mary Chain,Head On,2018-12-01 15:56:00,H,Head,4,1989,2016-12-05 07:49:00,H,6
Tears For Fears,Head Over Heels,2018-12-01 16:00:00,H,Head,4,1985,2016-12-05 08:10:00,H,5
The Go Gos,Head Over Heels,2018-12-01 16:04:00,H,Head,6,1984,2016-12-05 08:15:00,H,7
Traveling Wilburys,Heading For The Light,2018-12-01 16:10:00,H,Heading,3,1988,2016-12-05 08:22:00,H,3
King Crimson,Heartbeat,2018-12-01 16:45:00,H,Heartbeat,3,1982,2016-12-05 09:06:00,H,4
Psychedelic Furs,Heartbeat,2018-12-01 16:48:00,H,Heartbeat,7,1984,2016-12-05 09:10:00,H,5
Bob Mould,Heartbreak A Stranger,2018-12-01 16:55:00,H,Heartbreak,6,1989,2016-12-05 09:18:00,H,7
Psychedelic Furs,Heartbreak Beat,2018-12-01 17:01:00,H,Heartbreak,5,1986,2016-12-05 09:25:00,H,5
Psychedelic Furs,Heaven,2018-12-01 17:36:00,H,Heaven,4,1984,2016-12-05 09:57:00,H,3
The Smiths,Heaven Knows I'm Miserable Now,2018-12-01 17:44:00,H,Heaven,3,1984,2016-12-05 10:13:00,H,3
Grateful Dead,Hell In A Bucket,2018-12-01 18:10:00,H,Hell,7,1987,2016-12-05 10:59:00,H,6
Aaron Neville,Hercules,2018-12-01 18:55:00,H,Hercules,4,1987,2016-12-05 12:11:00,H,4
Eurythmics,Here Comes The Rain Again,2018-12-01 19:11:00,H,Here,4,1984,2016-12-05 12:31:00,H,4
The Pixies,Here Comes Your Man,2018-12-01 19:15:00,H,Here,4,1989,2016-12-05 12:43:00,H,3
Lyle Lovett & His Large Band,Here I Am,2018-12-01 19:19:00,H,Here,4,1989,2016-12-05 12:46:00,H,4
Bangles,Hero Takes A Fall,2018-12-01 19:40:00,H,Hero,3,1984,2016-12-05 13:12:00,H,3
Beastie Boys,Hey Ladies,2018-12-01 20:13:00,H,Hey,4,1989,2016-12-05 14:22:00,H,4
Steely Dan,Hey Nineteen,2018-12-01 20:17:00,H,Hey,5,1980,2016-12-05 14:31:00,H,6
Talking Heads,Hey Now,2018-12-01 20:22:00,H,Hey,4,1986,2016-12-05 14:41:00,H,4
Neville Brothers,Hey Pocky Way,2018-12-01 20:26:00,H,Hey,4,1981,2016-12-05 14:45:00,H,4
Steve Winwood,Higher Love,2018-12-01 20:48:00,H,Higher,6,1986,2016-12-05 15:55:00,H,5
Bruce Springsteen,Highway Patrolman,2018-12-01 20:54:00,H,Highway,5,1982,2016-12-05 16:10:00,H,8
The Clash,Hitsville U.k.,2018-12-01 21:15:00,H,Hitsville,4,1980,2016-12-05 16:47:00,H,4
Beastie Boys,"Hold It Now, Hit It",2018-12-01 21:23:00,H,Hold,5,1986,2016-12-05 17:13:00,H,4
The Thompson Twins,Hold Me Now,2018-12-01 21:31:00,H,Hold,5,1984,2016-12-05 17:17:00,H,5
Jackson Browne,Hold Out,2018-12-01 21:59:00,H,Hold,6,1980,2016-12-05 17:47:00,H,8
Lindsey Buckingham,Holiday Road,2018-12-01 22:22:00,H,Holiday,4,1983,2016-12-05 18:22:00,H,2
Red Hot Chili Peppers,Hollywood,2018-12-01 22:30:00,H,Hollywood,9,1985,2016-12-05 18:29:00,H,6
The Pogues,Honky Tonk Woman,2018-12-01 23:06:00,H,Honky,4,1989,2016-12-05 19:57:00,H,3
Kate Bush,Hounds Of Love,2018-12-01 23:43:00,H,Hounds,3,1985,2016-12-05 21:31:00,H,4
Psychedelic Furs,House,2018-12-01 23:51:00,H,House,5,1984,2016-12-05 21:35:00,H,5
The Smithereens,House We Used To Live In,2018-12-02 00:00:00,H,House,4,1988,2016-12-05 21:44:00,H,4
Talking Heads,Houses In Motion,2018-12-02 00:04:00,H,Houses,5,1980,2016-12-05 21:48:00,H,7
The Smiths,How Soon Is Now,2018-12-02 00:37:00,H,How,6,1985,2016-12-05 22:47:00,H,8
The Human League,Human,2018-12-02 00:48:00,H,Human,4,1986,2016-12-05 23:14:00,H,4
Bruce Springsteen,Hungry Heart,2018-12-02 01:09:00,H,Hungry,4,1980,2016-12-05 23:39:00,H,5
Duran Duran,Hungry Like The Wolf,2018-12-02 01:13:00,H,Hungry,4,1982,2016-12-05 23:44:00,H,4
Bad Brains,I Against I,2018-12-02 01:24:00,I,I,3,1986,2016-12-06 00:22:00,I,3
Stevie Wonder,I Ain't Gonna Stand For It,2018-12-02 01:31:00,I,I,5,1980,2016-12-06 00:25:00,I,5
Hall & Oates,I Can't Go For That,2018-12-02 02:10:00,I,I,5,1984,2016-12-06 02:34:00,I,5
LL Cool J,I Can't Live Without My Radio,2018-12-02 02:26:00,I,I,6,1985,2016-12-06 02:41:00,I,6
Eric Clapton,I Can't Stand It,2018-12-02 02:32:00,I,I,4,1981,2016-12-06 02:56:00,I,4
Elvis Costello,I Can't Stand Up For Falling Down,2018-12-02 02:36:00,I,I,2,1980,2016-12-06 03:05:00,I,3
Cheap Trick,I Can't Take It,2018-12-02 02:38:00,I,I,4,1983,2016-12-06 03:17:00,I,3
The English Beat,I Confess,2018-12-02 02:42:00,I,I,4,1982,2016-12-06 03:34:00,I,6
Phil Collins,I Don't Care Anymore,2018-12-02 02:58:00,I,I,5,1982,2016-12-06 04:04:00,I,5
Peter Gabriel,I Don't Remember,2018-12-02 03:10:00,I,I,5,1980,2016-12-06 04:21:00,I,4
The Pretenders,I Go To Sleep,2018-12-02 03:56:00,I,I,3,1981,2016-12-06 05:24:00,I,4
Los Lobos,I Got Loaded,2018-12-02 04:06:00,I,I,3,1984,2016-12-06 05:36:00,I,4
Split Enz,I Got You,2018-12-02 04:15:00,I,I,3,1980,2016-12-06 05:47:00,I,4
Peter Gabriel,I Have The Touch,2018-12-02 04:26:00,I,I,5,1982,2016-12-06 06:00:00,I,5
Lucinda Williams,I Just Wanted To See You So Bad,2018-12-02 04:42:00,I,I,2,1988,2016-12-06 06:45:00,I,3
Michael McDonald,I Keep Forgettin',2018-12-02 04:44:00,I,I,5,1982,2016-12-06 06:57:00,I,4
Nick Lowe,I Knew The Bride When She Used To Rock & Roll,2018-12-02 04:49:00,I,I,4,1985,2016-12-06 07:07:00,I,6
The Waitresses,I Know What Boys Like,2018-12-02 04:58:00,I,I,3,1982,2016-12-06 07:32:00,I,3
Gang Of Four,I Love A Man In Uniform,2018-12-02 05:39:00,I,I,4,1982,2016-12-06 08:09:00,I,5
Joan Jett And The Blackhearts,I Love Rock & Roll,2018-12-02 05:52:00,I,I,2,1981,2016-12-06 08:24:00,I,2
Lou Reed,I Love You Suzanne,2018-12-02 05:59:00,I,I,3,1984,2016-12-06 08:40:00,I,4
Modern English,I Melt With You,2018-12-02 06:06:00,I,I,3,1982,2016-12-06 08:53:00,I,4
LL Cool J,I Need A Beat,2018-12-02 06:15:00,I,I,4,1985,2016-12-06 09:23:00,I,4
LL Cool J,I Need Love,2018-12-02 06:19:00,I,I,8,1987,2016-12-06 09:41:00,I,5
A Flock Of Seagulls,I Ran (So Far Away),2018-12-02 06:40:00,I,I,6,1982,2016-12-06 10:24:00,I,4
U2,I Still Haven't Found What I'm Looking For,2018-12-02 07:18:00,I,I,5,1987,2016-12-06 11:17:00,I,5
Treat Her Right,I Think She Likes Me,2018-12-02 07:28:00,I,I,3,1986,2016-12-06 11:44:00,I,4
The Stone Roses,I Wanna Be Adored,2018-12-02 07:56:00,I,I,4,1989,2016-12-06 12:30:00,I,4
The Soft Boys,I Wanna Destroy You,2018-12-02 08:05:00,I,I,3,1980,2016-12-06 12:43:00,I,3
Bruce Springsteen,I Wanna Marry You,2018-12-02 08:16:00,I,I,4,1980,2016-12-06 12:46:00,I,4
Bow Wow Wow,I Want Candy,2018-12-02 08:26:00,I,I,3,1982,2016-12-06 12:55:00,I,2
Hoodoo Gurus,I Want You Back,2018-12-02 08:53:00,I,I,3,1984,2016-12-06 13:30:00,I,3
The Replacements,I Will Dare,2018-12-02 09:04:00,I,I,4,1983,2016-12-06 13:52:00,I,4
Tom Petty,I Won't Back Down,2018-12-02 09:22:00,I,I,4,1989,2016-12-06 14:29:00,I,5
Prince & The Revolution,I Would Die 4 U,2018-12-02 09:26:00,I,I,2,1984,2016-12-06 14:34:00,I,2
Donald Fagen,I.G.Y.,2018-12-02 09:28:00,I,I,6,1982,2016-12-06 14:43:00,I,6
Icehouse,Icehouse,2018-12-02 09:44:00,I,Icehouse,4,1980,2016-12-06 14:59:00,I,4
Squeeze,If I Didn't Love You,2018-12-02 09:56:00,I,If,5,1980,2016-12-06 15:40:00,I,4
Lyle Lovett,If I Had A Boat,2018-12-02 10:01:00,I,If,3,1987,2016-12-06 15:56:00,I,4
Bruce Cockburn,If I Had A Rocket Launcher,2018-12-02 10:04:00,I,If,6,1984,2016-12-06 16:01:00,I,6
Sting,If You Love Somebody,2018-12-02 10:42:00,I,If,4,1985,2016-12-06 17:17:00,I,4
Cheap Trick,If You Want My Love,2018-12-02 10:55:00,I,If,5,1982,2016-12-06 17:40:00,I,6
The Replacements,I'll Be You,2018-12-02 11:17:00,I,I'll,3,1989,2016-12-06 18:19:00,I,4
Bruce Springsteen,I'm A Rocker,2018-12-02 11:45:00,I,I'm,3,1980,2016-12-06 19:14:00,I,3
Diana Ross,I'm Coming Out,2018-12-02 11:55:00,I,I'm,5,1980,2016-12-06 19:41:00,I,5
John Lee Hooker,I'm In The Mood,2018-12-02 12:29:00,I,I'm,3,1988,2016-12-06 20:44:00,I,4
John Lennon,I'm Losing You,2018-12-02 12:37:00,I,I'm,5,1980,2016-12-06 20:56:00,I,4
Joan Armatrading,I'm Lucky,2018-12-02 12:42:00,I,I'm,3,1981,2016-12-06 21:00:00,I,3
Fine Young Cannibals,I'm Not The Man I Used To Be,2018-12-02 12:45:00,I,I'm,4,1988,2016-12-06 21:14:00,I,4
Bruce Springsteen,I'm On Fire,2018-12-02 12:49:00,I,I'm,4,1984,2016-12-06 21:22:00,I,3
The Blasters,I'm Shakin',2018-12-02 12:57:00,I,I'm,3,1981,2016-12-06 21:38:00,I,4
Leonard Cohen,I'm Your Man,2018-12-02 13:12:00,I,I'm,4,1980,2016-12-06 22:39:00,I,5
Big Country,In A Big Country,2018-12-02 13:16:00,I,In,7,1983,2016-12-06 23:00:00,I,5
The Cure,In Between Days,2018-12-02 13:29:00,I,In,3,1985,2016-12-06 23:27:00,I,3
Phil Collins,In The Air Tonight,2018-12-02 13:39:00,I,In,5,1981,2016-12-07 00:05:00,I,5
Jackson Browne,In The Shape Of A Heart,2018-12-02 14:07:00,I,In,7,1986,2016-12-07 00:35:00,I,6
X,In This House That I Call Home,2018-12-02 14:14:00,I,In,4,1981,2016-12-07 01:07:00,I,5
Peter Gabriel,In Your Eyes,2018-12-02 14:20:00,I,In,7,1986,2016-12-07 01:18:00,I,5
Elvis Costello,Indoor Fireworks,2018-12-02 15:00:00,I,Indoor,4,1986,2016-12-07 01:34:00,I,4
Dire Straits,Industrial Disease,2018-12-02 15:04:00,I,Industrial,7,1982,2016-12-07 01:38:00,I,6
Tom Waits,Innocent When You Dream (Bar Room),2018-12-02 15:26:00,I,Innocent,5,1987,2016-12-07 01:47:00,I,4
John Lennon,Instant Karma!,2018-12-02 15:52:00,I,Instant,4,1986,2016-12-07 01:56:00,I,3
Madonna,Into The Groove,2018-12-02 16:13:00,I,Into,4,1984,2016-12-07 02:25:00,I,4
Psychedelic Furs,Into You Like A Train,2018-12-02 16:27:00,I,Into,4,1981,2016-12-07 02:32:00,I,5
The Police,Invisible Sun,2018-12-02 16:31:00,I,Invisible,4,1981,2016-12-07 02:40:00,I,3
Rickie Lee Jones,It Must Be Love,2018-12-02 17:17:00,I,It,5,1984,2016-12-07 05:00:00,I,5
Men At Work,It's A Mistake,2018-12-02 17:39:00,I,It's,4,1981,2016-12-07 05:46:00,I,4
Talk Talk,It's My Life,2018-12-02 18:33:00,I,It's,4,1984,2016-12-07 07:12:00,I,4
Johnny Winter,"It's My Life, Baby",2018-12-02 18:37:00,I,It's,5,1984,2016-12-07 07:21:00,I,4
R. E. M.,It's The End Of The World As We Know It (And I Feel Fine),2018-12-02 18:53:00,I,It's,4,1987,2016-12-07 07:57:00,I,4
Run-DMC,It's Tricky,2018-12-02 18:57:00,I,It's,3,1986,2016-12-07 08:05:00,I,3
Jane's Addiction,Jane Says,2018-12-02 19:52:00,J,Jane,5,1987,2016-12-07 10:23:00,J,5
Warren Zevon,Jeannie Needs A Shooter,2018-12-02 20:05:00,J,Jeannie,6,1980,2016-12-07 10:45:00,J,4
Tom Waits,Jersey Girl,2018-12-02 20:25:00,J,Jersey,5,1980,2016-12-07 11:23:00,J,7
Bruce Springsteen,Johnny 99,2018-12-02 21:09:00,J,Johnny,4,1982,2016-12-07 12:39:00,J,6
Robert Palmer,Johnny And Mary,2018-12-02 21:13:00,J,Johnny,3,1981,2016-12-07 12:45:00,J,4
Fine Young Cannibals,Johnny Come Home,2018-12-02 21:24:00,J,Johnny,4,1989,2016-12-07 12:51:00,J,5
Bob Dylan,Jokerman,2018-12-02 21:41:00,J,Jokerman,6,1983,2016-12-07 13:11:00,J,6
Rickie Lee Jones,Juke Box Fury,2018-12-02 22:08:00,J,Juke,4,1984,2016-12-07 14:03:00,J,5
Aztec Camera,Jump,2018-12-02 22:24:00,J,Jump,3,1984,2016-12-07 14:17:00,J,3
Van Halen,Jump,2018-12-02 22:27:00,J,Jump,4,1983,2016-12-07 14:20:00,J,4
The Time,Jungle Love,2018-12-02 22:52:00,J,Jungle,6,1984,2016-12-07 14:44:00,J,7
The Cure,Just Like Heaven,2018-12-02 23:52:00,J,Just,3,1987,2016-12-07 15:42:00,J,4
The Jesus And Mary Chain,Just Like Honey,2018-12-02 23:55:00,J,Just,5,1985,2016-12-07 15:46:00,J,3
Little Steven & The Disciples Of Soul,Justice,2018-12-03 00:17:00,J,Justice,3,1984,2016-12-07 16:29:00,J,3
Culture Club,Karma Chameleon,2018-12-03 00:32:00,K,Karma,5,1983,2016-12-07 16:39:00,K,5
Pete Townshend,Keep On Working,2018-12-03 00:50:00,K,Keep,4,1980,2016-12-07 17:56:00,K,4
The Pretenders,Kid,2018-12-03 01:20:00,K,Kid,3,1987,2016-12-07 18:28:00,K,3
The Police,King Of Pain,2018-12-03 01:43:00,K,King,5,1983,2016-12-07 19:09:00,K,5
Run-DMC,King Of Rock,2018-12-03 01:48:00,K,King,6,1986,2016-12-07 19:14:00,K,6
Prince,Kiss,2018-12-03 02:04:00,K,Kiss,3,1986,2016-12-07 19:33:00,K,4
Hall & Oates,Kiss Is On My List,2018-12-03 02:12:00,K,Kiss,4,1980,2016-12-07 19:41:00,K,4
The Replacements,Kiss Me On The Bus,2018-12-03 02:24:00,K,Kiss,2,1985,2016-12-07 19:45:00,K,3
Violent Femmes,Kiss Off,2018-12-03 02:26:00,K,Kiss,1,1983,2016-12-07 19:48:00,K,4
Violent Femmes,Kiss Off,2018-12-03 02:27:00,K,Kiss,2,1983,2016-12-07 19:48:00,K,4
Toots Hibbert,Knock On Wood,2018-12-03 02:44:00,K,Knock,4,1988,2016-12-07 20:19:00,K,4
Third World,Lagos Jump,2018-12-03 03:35:00,L,Lagos,5,1983,2016-12-07 21:33:00,L,5
Pat Metheny Group,Last Train Home,2018-12-03 03:59:00,L,Last,7,1987,2016-12-07 22:34:00,L,6
Paul Simon,Late In The Evening,2018-12-03 04:06:00,L,Late,3,1980,2016-12-07 22:55:00,L,4
R. E. M.,Laughing,2018-12-03 04:09:00,L,Laughing,4,1983,2016-12-07 23:03:00,L,3
Jackson Browne,Lawyers In Love,2018-12-03 04:18:00,L,Lawyers,5,1983,2016-12-07 23:06:00,L,6
Pink Floyd,Learning To Fly,2018-12-03 04:26:00,L,Learning,5,1987,2016-12-08 00:13:00,L,4
Yes,Leave It,2018-12-03 04:35:00,L,Leave,6,1983,2016-12-08 00:21:00,L,5
Suzanne Vega,Left Of Center,2018-12-03 04:46:00,L,Left,4,1986,2016-12-08 00:47:00,L,4
The Replacements,Left Of The Dial,2018-12-03 04:50:00,L,Left,5,1984,2016-12-08 00:51:00,L,4
B-52's,Legal Tender,2018-12-03 04:55:00,L,Legal,5,1983,2016-12-08 01:00:00,L,4
Heaven 17,Let Me Go,2018-12-03 05:21:00,L,Let,4,1986,2016-12-08 02:14:00,L,4
Pete Townshend,Let My Love Open The Door,2018-12-03 05:33:00,L,Let,3,1980,2016-12-08 02:23:00,L,2
David Bowie,Let's Dance,2018-12-03 06:02:00,L,Let's,9,1983,2016-12-08 02:42:00,L,7
Prince & The Revolution,Let's Go Crazy,2018-12-03 06:22:00,L,Let's,5,1984,2016-12-08 03:05:00,L,5
The Cure,Let's Go To Bed,2018-12-03 06:27:00,L,Let's,3,1982,2016-12-08 03:10:00,L,5
Billy Bragg,Levi Stubb's Tears,2018-12-03 07:02:00,L,Levi,4,1986,2016-12-08 03:33:00,L,5
The Thompson Twins,Lies,2018-12-03 07:14:00,L,Lies,3,1983,2016-12-08 03:56:00,L,3
Timbuk 3,Life is Hard,2018-12-03 07:42:00,L,Life,4,1986,2016-12-08 04:26:00,L,4
The Clash,Lightning Strikes,2018-12-03 08:04:00,L,Lightning,4,1980,2016-12-08 05:15:00,L,4
Peter Wolf,Lights Out,2018-12-03 08:08:00,L,Lights,7,1984,2016-12-08 05:19:00,L,6
Madonna,Like A Virgin,2018-12-03 08:35:00,L,Like,5,1984,2016-12-08 05:46:00,L,4
"10,000 Maniacs",Like The Weather,2018-12-03 08:46:00,L,Like,6,1987,2016-12-08 05:53:00,L,5
INXS,Listen Like Thieves,2018-12-03 09:17:00,L,Listen,3,1985,2016-12-08 06:37:00,L,3
Prince,Little Red Corvette,2018-12-03 09:40:00,L,Little,6,1982,2016-12-08 08:00:00,L,5
Jackson Browne,Lives In The Balance,2018-12-03 10:05:00,L,Lives,4,1986,2016-12-08 09:05:00,L,5
John Mellencamp,Lonely Ol' Night,2018-12-03 11:02:00,L,Lonely,4,1985,2016-12-08 10:33:00,L,4
The Style Council,Long Hot Summer,2018-12-03 11:15:00,L,Long,5,1983,2016-12-08 11:05:00,L,5
Robert Palmer,Looking For Clues,2018-12-03 12:01:00,L,Looking,5,1980,2016-12-08 12:21:00,L,7
Toots Hibbert,Love And Happiness,2018-12-03 13:18:00,L,Love,6,1988,2016-12-08 14:17:00,L,7
Nanci Griffith,Love At The Five & Dime,2018-12-03 13:32:00,L,Love,4,1986,2016-12-08 14:24:00,L,5
Aerosmith,Love In An Elevator,2018-12-03 14:00:00,L,Love,5,1987,2016-12-08 15:05:00,L,6
Sting,Love Is The Seventh Wave,2018-12-03 14:38:00,L,Love,5,1985,2016-12-08 16:04:00,L,4
Bonnie Raitt,Love Letter,2018-12-03 14:48:00,L,Love,3,1989,2016-12-08 16:14:00,L,4
Psychedelic Furs,Love My Way,2018-12-03 14:56:00,L,Love,4,1982,2016-12-08 16:38:00,L,4
Haircut One Hundred,Love Plus One,2018-12-03 15:15:00,L,Love,4,1982,2016-12-08 17:00:00,L,3
B-52's,Love Shack,2018-12-03 15:24:00,L,Love,5,1989,2016-12-08 17:21:00,L,5
The J. Geils Band,Love Stinks,2018-12-03 15:42:00,L,Love,4,1980,2016-12-08 17:40:00,L,4
Stevie Ray Vaughan,Love Struck Baby,2018-12-03 15:46:00,L,Love,4,1986,2016-12-08 17:44:00,L,2
Teddy Pendergrass,Love TKO,2018-12-03 15:50:00,L,Love,5,1980,2016-12-08 17:55:00,L,5
New Order,Love Vigilantes,2018-12-03 15:55:00,L,Love,5,1985,2016-12-08 18:12:00,L,4
Devo,Love Without Anger,2018-12-03 16:11:00,L,Love,4,1981,2016-12-08 18:31:00,L,2
Bruce Cockburn,Lovers In A Dangerous Time,2018-12-03 16:35:00,L,Lovers,4,1984,2016-12-08 19:06:00,L,5
The Cure,Lovesong,2018-12-03 16:50:00,L,Lovesong,5,1989,2016-12-08 19:35:00,L,4
The Lemonheads,Luka,2018-12-03 17:29:00,L,Luka,3,1989,2016-12-08 20:45:00,L,4
Suzanne Vega,Luka,2018-12-03 17:32:00,L,Luka,5,1988,2016-12-08 20:41:00,L,4
Tears For Fears,Mad World,2018-12-03 18:04:00,M,Mad,3,1984,2016-12-08 21:12:00,M,5
