Title,Artist,Rank_885best,Rank_xpn2020,Change
One Big Holiday,My Morning Jacket,39,572,-533
Black,Pearl Jam,85,1614,-1529
Take Me To Church,Hozier,102,908,-806
Billie Jean,Michael Jackson,111,1488,-1377
Do You Realize,The Flaming Lips,136,724,-588
Wordless Chorus,My Morning Jacket,157,1767,-1610
I Still Haven't Found What I'm Looking For,U2,160,589,-429
Diamonds And Rust,Joan Baez,176,725,-549
So What,Miles Davis,178,692,-514
Diamonds On The Soles Of Her Shoes,Paul Simon,199,682,-483
Cinnamon Girl,Neil Young,203,951,-748
Wonderwall,Oasis,209,802,-593
Since I've Been Loving You,Led Zeppelin,211,681,-470
Heavenly Day,Patty Griffin,212,709,-497
Beautiful Day,U2,224,569,-345
Let Down,Radiohead,227,721,-494
The Thrill Is Gone,B.B. King,239,620,-381
Fool In The Rain,Led Zeppelin,243,730,-487
I Wanna Be Sedated,The Ramones,244,638,-394
Born To Be Wild,Steppenwolf,248,1754,-1506
Let's Get It On,Marvin Gaye,252,745,-493
The Funeral,Band Of Horses,257,797,-540
Thank You,Led Zeppelin,271,576,-305
Someone Like You,Adele,272,798,-526
Crossroads,Cream,282,579,-297
No Quarter,Led Zeppelin,286,758,-472
Sweet Thing,Van Morrison,287,985,-698
Simple Man,Lynyrd Skynyrd,293,722,-429
Carry On,Crosby Stills Nash & Young,298,1239,-941
Dream On,Aerosmith,299,593,-294
Atlantic City,Bruce Springsteen,304,563,-259
Tangerine,Led Zeppelin,305,1066,-761
Dondante,My Morning Jacket,313,1259,-946
Tumbling Dice,The Rolling Stones,317,1685,-1368
Mr. Jones,Counting Crows,318,1275,-957
Song For Zula,Phosphorescent,319,800,-481
Gold On The Ceiling,The Black Keys,323,840,-517
Chain Of Fools,Aretha Franklin,331,1098,-767
Neighborhood #1 (Tunnels),Arcade Fire,335,1047,-712
Teenage Riot,Sonic Youth,336,1818,-1482
Clampdown,The Clash,345,980,-635
Little Red Corvette,Prince,347,836,-489
Beast Of Burden,The Rolling Stones,354,699,-345
Fearless,Pink Floyd,355,660,-305
Madame George,Van Morrison,356,629,-273
Get Back,The Beatles,358,859,-501
Money,Pink Floyd,364,1167,-803
Summer Highland Falls,Billy Joel,366,663,-297
New Slang,The Shins,368,756,-388
The Wind Cries Mary,Jimi Hendrix,369,566,-197
Viva La Vida,Coldplay,370,670,-300
Loser,Beck,372,1049,-677
Idiot Wind,Bob Dylan,376,841,-465
"Lover, You Should've Come Over",Jeff Buckley,382,652,-270
Oh! Sweet Nuthin',The Velvet Underground,389,1100,-711
Waiting On A Friend,The Rolling Stones,398,1121,-723
Last Nite,The Strokes,401,1640,-1239
Got To Give It Up,Marvin Gaye,402,643,-241
Yellow,Coldplay,408,714,-306
Ticket To Ride,The Beatles,414,1022,-608
Have A Little Faith In Me,John Hiatt,424,852,-428
Help Me,Joni Mitchell,435,1631,-1196
Wonderful Tonight,Eric Clapton,439,1064,-625
Back To Black,Amy Winehouse,440,677,-237
All Along The Watchtower,Bob Dylan,451,601,-150
Come Away With Me,Norah Jones,452,588,-136
From Eden,Hozier,453,1566,-1113
New York State Of Mind,Billy Joel,455,1473,-1018
Crazy,Gnarls Barkley,459,1434,-975
Everybody Hurts,REM,465,910,-445
Sweet Home Alabama,Lynyrd Skynyrd,470,799,-329
Eminence Front,The Who,475,968,-493
Ready To Start,Arcade Fire,479,1048,-569
I've Just Seen A Face,The Beatles,480,1352,-872
Kodachrome,Paul Simon,484,769,-285
Don't Look Back In Anger,Oasis,488,1813,-1325
#41,Dave Matthews Band,492,723,-231
Higher Ground,Stevie Wonder,494,731,-237
Everything In Its Right Place,Radiohead,497,796,-299
Dance Yrself Clean,Lcd Soundsystem,499,779,-280
You've Got A Friend,James Taylor,501,854,-353
Free Man In Paris,Joni Mitchell,505,1358,-853
All Day And All Of The Night,The Kinks,509,1293,-784
Good Times Bad Times,Led Zeppelin,510,727,-217
Little Black Submarines,The Black Keys,513,920,-407
Like A Prayer,Madonna,514,776,-262
Money For Nothing,Dire Straits,516,590,-74
Simple Twist Of Fate,Bob Dylan,518,868,-350
Sugar Mountain,Neil Young,519,1061,-542
I'm Your Captain,Grand Funk Railroad,523,2005,-1482
Late In The Evening,Paul Simon,525,1435,-910
Aqualung,Jethro Tull,527,604,-77
You've Got A Friend,Carole King,532,1989,-1457
You've Got A Friend,Carole King,532,587,-55
Pinball Wizard,The Who,536,1449,-913
In These Shoes,Kirsty Maccoll,537,1606,-1069
Street Fighting Man,The Rolling Stones,541,1122,-581
These Arms Of Mine,Otis Redding,542,1506,-964
Time Spent In Los Angeles,Dawes,543,1248,-705
Come As You Are,Nirvana,549,686,-137
Rapper's Delight,Sugar Hill Gang,550,550,0
Set Fire To The Rain,Adele,551,815,-264
Don't Fear The Reaper,Blue Oyster Cult,552,1673,-1121
Locomotive Breath,Jethro Tull,555,1250,-695
Jeremy,Pearl Jam,559,824,-265
Red Eyes,The War On Drugs,560,1213,-653
Dirty Work,Steely Dan,562,1277,-715
Tonight Tonight,Smashing Pumpkins,565,1468,-903
Watcher Of The Skies,Genesis,566,1038,-472
Crush,Dave Matthews Band,567,1772,-1205
Wild World,Cat Stevens,572,865,-293
The Circle Game,Joni Mitchell,576,642,-66
Start Me Up,The Rolling Stones,579,1058,-479
In The Aeroplane Over The Sea,Neutral Milk Hotel,582,717,-135
Lithium,Nirvana,583,961,-378
Wuthering Heights,Kate Bush,585,597,-12
Rain King,Counting Crows,590,1319,-729
Golden Lady,Stevie Wonder,591,860,-269
Think,Aretha Franklin,594,639,-45
Kathy's Song,Simon & Garfunkel,596,1104,-508
Over The Rainbow,Eva Cassidy,597,923,-326
Pump It Up,Elvis Costello,600,843,-243
She's The One,Bruce Springsteen,604,669,-65
Steam Engine,My Morning Jacket,606,1303,-697
Mysterious Ways,U2,611,1681,-1070
She Sells Sanctuary,The Cult,614,1230,-616
Dont Change,Inxs,617,807,-190
I Want You (She's So Heavy),The Beatles,619,1204,-585
Message In A Bottle,The Police,621,635,-14
Please Please Me,The Beatles,626,582,44
(Angels Want To Wear My) Red Shoes,Elvis Costello,628,1227,-599
Shadow People,Dr. Dog,631,1232,-601
Lost In The Supermarket,The Clash,632,1021,-389
When You Were Young,The Killers,634,1149,-515
Rock The Casbah,The Clash,637,676,-39
Lust For Life,Iggy Pop,639,801,-162
Northern Sky,Nick Drake,641,1084,-443
Beat It,Michael Jackson,645,1430,-785
Stuck Inside Of Mobile With The Memphis Blues Again,Bob Dylan,648,668,-20
Tunnel Of Love,Bruce Springsteen,649,1143,-494
Helter Skelter,The Beatles,651,733,-82
Kathleen,Josh Ritter,652,674,-22
Sideways,Citizen Cope,653,1639,-986
Rock 'n' Roll Suicide,David Bowie,655,564,91
Rebellion (Lies),Arcade Fire,661,778,-117
Rock And Roll,Led Zeppelin,663,822,-159
Carey,Joni Mitchell,664,726,-62
The Scientist,Coldplay,669,1383,-714
The Only Living Boy In New York,Simon & Garfunkel,670,1676,-1006
Tired Of Being Alone,Al Green,671,1080,-409
Every Day I Write The Book,Elvis Costello,677,1668,-991
Got To Get You Into My Life,The Beatles,678,1867,-1189
Pacing The Cage,Bruce Cockburn,680,1140,-460
I've Been Loving You Too Long,Otis Redding,682,864,-182
Lost Cause,Beck,688,1379,-691
Isn't It A Pity,George Harrison,692,678,14
Midnight City,M83,693,1857,-1164
Steppin' Out,Joe Jackson,694,1069,-375
The Suburbs,Arcade Fire,695,838,-143
Wicked Game,Chris Isaak,696,1118,-422
All The Young Dudes,Mott The Hoople,697,1540,-843
I Will Follow,U2,698,577,121
Star Spangled Banner,Jimi Hendrix,699,820,-121
Lose Yourself,Eminem,701,1793,-1092
Every Picture Tells A Story,Rod Stewart,703,622,81
Heart Of The Sunrise,Yes,704,592,112
Tunnel Of Love,Dire Straits,706,560,146
Peace Frog,The Doors,708,979,-271
And It Stoned Me,Van Morrison,715,846,-131
Mystery Achievement,The Pretenders,716,594,122
Smooth,Santana,721,1929,-1208
Under My Thumb,The Rolling Stones,726,1768,-1042
Pale Blue Eyes,The Velvet Underground,730,649,81
Werewolves Of London,Warren Zevon,731,700,31
Ruby Tuesday,The Rolling Stones,732,1426,-694
On The Turning Away,Pink Floyd,735,1648,-913
I Will,The Beatles,740,1067,-327
Rudie Can't Fail,The Clash,743,1762,-1019
Bouncing Around The Room,Phish,746,1678,-932
Close To Me,The Cure,747,585,162
Five Years,David Bowie,748,914,-166
Gravity,John Mayer,749,917,-168
All Down The Line,The Rolling Stones,752,770,-18
Under The Milky Way,The Church,754,833,-79
Captain Jack,Billy Joel,756,1489,-733
Roxanne,The Police,758,915,-157
Are You Experienced,Jimi Hendrix,759,616,143
The End,The Beatles,768,1651,-883
Happy,The Rolling Stones,770,1683,-913
I Will Follow You Into The Dark,Death Cab For Cutie,773,1597,-824
In A Gadda Da Vida,Iron Butterfly,775,1966,-1191
Tempted,Squeeze,776,548,228
Don't Let The Sun Go Down On Me,Elton John,785,784,1
Fire,Jimi Hendrix,787,1398,-611
In Between Days,The Cure,788,1392,-604
Windfall,Son Volt,791,995,-204
Fake Empire,The National,792,1245,-453
Man Out Of Time,Elvis Costello,799,1896,-1097
Radio Free Europe,REM,802,1574,-772
I Can See For Miles,The Who,808,1214,-406
Room To Move,John Mayall,811,1301,-490
Sheena Is A Punk Rocker,The Ramones,813,982,-169
That Old Black Hole,Dr. Dog,815,1372,-557
Every Breath You Take,The Police,819,890,-71
Brilliant Disguise,Bruce Springsteen,823,1385,-562
Love Vigilantes,New Order,824,1407,-583
Rain,The Beatles,827,683,144
Tusk,Fleetwood Mac,828,1051,-223
1999,Prince,829,2002,-1173
The Luckiest,Ben Folds,834,935,-101
Crazy On You,Heart,839,1356,-517
Skateaway,Dire Straits,841,991,-150
Ceremony,New Order,848,693,155
Goodbye Yellow Brick Road,Elton John,849,549,300
Midnight In Harlem,Tedeschi Trucks Band,852,673,179
So Far Away,Carole King,853,1618,-765
Birdland,Weather Report,857,1154,-297
Carolina In My Mind,James Taylor,858,1454,-596
Hound Dog,Elvis Presley,859,628,231
Middle Of The Road,The Pretenders,860,1151,-291
Proud Mary,Creedence Clearwater Revival,862,858,4
Windows Are Rolled Down,Amos Lee,863,667,196
Heavy Metal Drummer,Wilco,866,1170,-304
How Many More Times,Led Zeppelin,867,1242,-375
Shattered,The Rolling Stones,869,1903,-1034
Song For Sharon,Joni Mitchell,870,786,84
Crazy,Willie Nelson,874,1443,-569
Back In The U.S.S.R.,The Beatles,875,1438,-563
A Sort Of Homecoming,U2,879,1400,-521
A-Punk,Vampire Weekend,880,1878,-998
Blue Eyes Crying In The Rain,Willie Nelson,881,1141,-260
Son Of A Preacher Man,Dusty Springfield,885,1350,-465
