Artist,Title,Air Time,Letter,First Word,Duration,Year
Jim Croce,Time In A Bottle,2020-12-12 09:12:00,T,Time,2,1972
Prince & The Revolution,I Would Die 4 U,2020-12-12 09:14:00,I,I,3,1984
U2,A Sort Of Homecoming,2020-12-12 09:17:00,A,A,7,1984
Gordon Lightfoot,Sundown,2020-12-12 09:24:00,S,Sundown,4,1974
Jimi Hendrix,Fire,2020-12-12 09:28:00,F,Fire,2,1986
M. I. A.,Paper Planes,2020-12-12 09:30:00,P,Paper,5,0
America,Ventura Highway,2020-12-12 09:35:00,V,Ventura,3,1972
Bruce Springsteen,My City Of Ruins,2020-12-12 09:38:00,M,My,5,2001
Loggins & Messina,Angry Eyes,2020-12-12 09:43:00,A,Angry,8,1972
Crack The Sky,Ice,2020-12-12 09:51:00,I,Ice,6,1975
The Cure,In Between Days,2020-12-12 09:57:00,I,In,3,1985
Talking Heads,Born Under Punches (The Heat Goes On),2020-12-12 10:00:00,B,Born,6,1980
The Beatles,Magical Mystery Tour,2020-12-12 10:06:00,M,Magical,3,1967
The Turtles,Happy Together,2020-12-12 10:09:00,H,Happy,3,1966
Chet Baker,My Funny Valentine,2020-12-12 10:12:00,M,My,4,1992
Death Cab For Cutie,Soul Meets Body,2020-12-12 10:16:00,S,Soul,4,2005
Jeff Beck,Cause We've Ended As Lovers,2020-12-12 10:20:00,C,Cause,6,1975
Bruce Springsteen,Brilliant Disguise,2020-12-12 10:26:00,B,Brilliant,6,1987
Bob Dylan,Jokerman,2020-12-12 10:32:00,J,Jokerman,7,1983
Coldplay,The Scientist,2020-12-12 10:39:00,T,The,6,2002
Lady Gaga,Born THis Way,2020-12-12 10:45:00,B,Born,4,2011
Tom Waits,I Don't Wanna Grow Up,2020-12-12 10:49:00,I,I,3,1992
Brandi Carlile,Wherever Is Your Heart,2020-12-12 10:52:00,W,Wherever,4,2015
Beck,Lost Cause,2020-12-12 10:56:00,L,Lost,4,2002
The Buzzcocks,Why Can't I Touch It?,2020-12-12 11:00:00,W,Why,7,0
Smashing Pumpkins,Mayonaise,2020-12-12 11:07:00,M,Mayonaise,7,1993
Otis Redding,Coffee And Cigarettes,2020-12-12 11:14:00,C,Coffee,4,0
Stevie Wonder,You Haven't Done Nothin',2020-12-12 11:18:00,Y,You,3,1974
Tony Bennett,I Left My Heart In San Francisco,2020-12-12 11:21:00,I,I,5,1976
Janis Joplin,Get It While You Can,2020-12-12 11:26:00,G,Get,3,1971
Dr. Dog,That Old Black Hole,2020-12-12 11:29:00,T,That,4,2012
Donna Summer,Last Dance,2020-12-12 11:33:00,L,Last,3,1978
Brook Benton,Rainy Night In Georgia,2020-12-12 11:36:00,R,Rainy,5,1991
Fleetwood Mac,Sara,2020-12-12 11:41:00,S,Sara,4,1979
Steely Dan,Don't Take Me Alive,2020-12-12 11:45:00,D,Don't,4,1976
The Beatles,Twist & Shout,2020-12-12 11:49:00,T,Twist,4,1976
Todd Rundgren,A Dream Goes On Forever,2020-12-12 11:53:00,A,A,2,1974
Eric Clapton,Let It Grow,2020-12-12 11:55:00,L,Let,6,1974
Van Morrison,When The Leaves Come Falling Down,2020-12-12 12:01:00,W,When,6,1999
Tommy James & The Shondells,Crimson & Clover,2020-12-12 12:07:00,C,Crimson,7,1967
Sigur Ros,HoppÃ­polla,2020-12-12 12:14:00,H,HoppÃ,4,0
Robert Johnson,Cross Road Blues,2020-12-12 12:18:00,C,Cross,3,1961
The Ramones,Blitzkrieg Bop,2020-12-12 12:21:00,B,Blitzkrieg,3,1988
Keane,Somewhere Only We Know,2020-12-12 12:24:00,S,Somewhere,4,2004
Joni Mitchell,Free Man In Paris,2020-12-12 12:28:00,F,Free,3,1974
INXS,Never Tear Us Apart,2020-12-12 12:31:00,N,Never,3,1987
Heart,Crazy On You,2020-12-12 12:34:00,C,Crazy,7,1975
Glen Hansard & Marketa Irglova,Falling Slowly,2020-12-12 12:41:00,F,Falling,4,2006
Dan Fogelberg,Same Old Lang Syne,2020-12-12 12:45:00,S,Same,5,1981
Chicago,Make Me Smile,2020-12-12 12:50:00,M,Make,5,1970
The Beatles,I've Just Seen A Face,2020-12-12 12:55:00,I,I've,2,1965
Patsy Cline,She's Got You,2020-12-12 12:57:00,S,She's,3,1963
Dusty Springfield,Son Of A Preacher Man,2020-12-12 13:00:00,S,Son,3,1979
War,All Day Music,2020-12-12 13:03:00,A,All,4,1971
Counting Crows,Mrs. Potter's Lullaby,2020-12-12 13:07:00,M,Mrs,10,1999
Simon & Garfunkel,Bookends Theme,2020-12-12 13:17:00,B,Bookends,1,1968
The Eagles,Ol' 55,2020-12-12 13:18:00,O,Ol',4,0
Sly & The Family Stone,Family Affair,2020-12-12 13:22:00,F,Family,4,1991
Sam Cooke,Twistin' The Night Away,2020-12-12 13:26:00,T,Twistin',3,1962
The Rolling Stones,Torn And Frayed,2020-12-12 13:29:00,T,Torn,4,1972
Bronski Beat,Smalltown Boy,2020-12-12 13:33:00,S,Smalltown,6,1995
Joe Walsh,Welcome To The Club,2020-12-12 13:39:00,W,Welcome,6,1974
Kurt Vile,Wakin' On A Pretty Day,2020-12-12 13:45:00,W,Wakin',11,2013
David Essex,Rock On,2020-12-12 13:56:00,R,Rock,4,1973
The Velvet Underground,All Tomorrow's Parties,2020-12-12 14:00:00,A,All,6,1966
Hall & Oates,Rich Girl,2020-12-12 14:06:00,R,Rich,2,1978
Tame Impala,Elephant,2020-12-12 14:08:00,E,Elephant,4,2012
Richard Thompson,Tear Stained Letter,2020-12-12 14:12:00,T,Tear,7,1983
The Dells,There Is,2020-12-12 14:19:00,T,There,3,1968
Natalie Merchant,Ophelia,2020-12-12 14:22:00,O,Ophelia,5,1998
Nathaniel Rateliff,And It's Still Alright,2020-12-12 14:27:00,A,And,6,2020
Game Theory,24,2020-12-12 14:33:00,2,24,2,1985
Radiohead,Airbag,2020-12-12 14:35:00,A,Airbag,8,1997
Paul Simon,Under African Skies,2020-12-12 14:43:00,U,Under,3,1986
Circus Maximus,Wind,2020-12-12 14:46:00,W,Wind,11,1967
Levon Helm,When I Go Away,2020-12-12 14:57:00,W,When,5,2009
The Blue Nile,Tinseltown In The Rain,2020-12-12 15:02:00,T,Tinseltown,6,1984
Humble Pie,30 Days In The Hole,2020-12-12 15:08:00,3,30,5,1972
Van Halen,Jump,2020-12-12 15:13:00,J,Jump,4,1983
David Bowie,Modern Love,2020-12-12 15:17:00,M,Modern,4,1983
John Lennon,Beautiful Boy (Darling Boy),2020-12-12 15:21:00,B,Beautiful,4,1980
U2,40,2020-12-12 15:25:00,4,40,3,1980
Elton John,Bennie and the Jets,2020-12-12 15:28:00,B,Bennie,6,1976
Counting Crows,Rain King,2020-12-12 15:34:00,R,Rain,4,1993
Bruce Springsteen,Girls In Their Summer Clothes,2020-12-12 15:38:00,G,Girls,7,2007
Prince,Kiss,2020-12-12 15:45:00,K,Kiss,3,1986
Supertramp,School,2020-12-12 15:48:00,S,School,7,1974
The Smiths,The Headmaster Ritual,2020-12-12 15:55:00,T,The,5,1985
TV On The Radio,Wolf Like Me,2020-12-12 16:00:00,W,Wolf,5,2001
The Clash,Police On My Back,2020-12-12 16:05:00,P,Police,3,1980
Phillip Bailey,Easy Lover,2020-12-12 16:08:00,E,Easy,7,0
Bob Dylan,You're A Big Girl Now,2020-12-12 16:15:00,Y,You're,4,1975
Stevie Wonder,All Is Fair In Love,2020-12-12 16:19:00,A,All,4,0
Roxy Music,If There Is Something,2020-12-12 16:23:00,I,If,8,1972
Joan Osborne,What Becomes Of The Brokenhearted,2020-12-12 16:31:00,W,What,4,2002
Kurt Vile,Pretty Pimpin',2020-12-12 16:35:00,P,Pretty,6,2015
The Beach Boys,I Just Wasn't Made For These Times,2020-12-12 16:41:00,I,I,3,1966
Pearl Jam,Elderly Woman Behind The Counter In A Small Town,2020-12-12 16:44:00,E,Elderly,3,1994
Joe Jackson,It's Different For Girls,2020-12-12 16:47:00,I,It's,5,1979
My Morning Jacket,Steam Engine,2020-12-12 16:52:00,S,Steam,8,2003
Johnny Cash,Sunday Morning Coming Down,2020-12-12 17:00:00,S,Sunday,4,1971
John Mayall,Room To Move,2020-12-12 17:04:00,R,Room,5,1969
Metallica,Creeping Death,2020-12-12 17:09:00,C,Creeping,9,1984
Roy Orbison,In Dreams,2020-12-12 17:18:00,I,In,2,1980
Buffalo Springfield,Expecting to Fly,2020-12-12 17:20:00,E,Expecting,4,1967
Emerson Lake & Palmer,From The Beginning,2020-12-12 17:24:00,F,From,5,1972
The Who,I'm Free,2020-12-12 17:29:00,I,I'm,3,1975
Guns n Roses,Paradise City,2020-12-12 17:32:00,P,Paradise,7,1987
Linda Ronstadt,You're No Good,2020-12-12 17:39:00,Y,You're,5,1974
The Kinks,All Day And All Of The Night,2020-12-12 17:44:00,A,All,2,1965
Johnny Mathis,Misty,2020-12-12 17:46:00,M,Misty,4,1972
Portishead,Sour Times,2020-12-12 17:50:00,S,Sour,6,1994
The Hooters,And We Danced,2020-12-12 17:56:00,A,And,5,1987
Gordon Lightfoot,If You Could Read My Mind,2020-12-12 18:01:00,I,If,4,1970
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),2020-12-12 18:05:00,I,I,4,1987
Robert Palmer,Every Kind Of People,2020-12-12 18:09:00,E,Every,7,1994
Radiohead,No Surprises,2020-12-12 18:16:00,N,No,3,1997
Marvin Gaye,Sexual Healing,2020-12-12 18:19:00,S,Sexual,4,1982
Johnny Cash & June Carter Cash,Jackson,2020-12-12 18:23:00,J,Jackson,5,2002
John Prine,In Spite Of Ourselves (ft. Iris Dement),2020-12-12 18:28:00,I,In,3,0
Green Day,When I Come Around,2020-12-12 18:31:00,W,When,3,1994
Crosby Stills Nash & Young,Woodstock,2020-12-12 18:34:00,W,Woodstock,4,1970
Bruce Cockburn,Last Night Of The World,2020-12-12 18:38:00,L,Last,5,1999
U2,Red Hill Mining Town,2020-12-12 18:43:00,R,Red,5,1987
Blondie,One Way Or Another,2020-12-12 18:48:00,O,One,4,1978
Steely Dan,Dirty Work,2020-12-12 18:52:00,D,Dirty,4,1972
Matthew Sweet,Sick Of Myself,2020-12-12 18:56:00,S,Sick,4,1995
Counting Crows,Mr. Jones,2020-12-12 19:00:00,M,Mr,5,1993
Jerry Garcia,BIRD SONG,2020-12-12 19:05:00,B,BIRD,6,1972
David Bowie,TVC15,2020-12-12 19:11:00,T,TVC15,6,1980
Kathleen Edwards,Asking For Flowers,2020-12-12 19:17:00,A,Asking,4,2008
Drive-By Truckers,Decoration Day,2020-12-12 19:21:00,D,Decoration,9,2003
The Kingsmen,Louie Louie,2020-12-12 19:30:00,L,Louie,2,1963
Roxy Music,Dance Away,2020-12-12 19:32:00,D,Dance,4,1979
Fats Domino,I'm Ready,2020-12-12 19:36:00,I,I'm,3,1959
Patsy Cline,Sweet Dreams (Of You),2020-12-12 19:39:00,S,Sweet,3,1963
Miles Davis,Flamenco Sketches,2020-12-12 19:42:00,F,Flamenco,11,1959
Gregg Allman,Multi-Colored Lady,2020-12-12 19:53:00,M,Multi-Colored,6,1973
Sylvan Esso,Coffee,2020-12-12 19:59:00,C,Coffee,3,2014
R. E. M.,Superman,2020-12-12 20:02:00,S,Superman,3,1986
Phish,Tweezer,2020-12-12 20:05:00,T,Tweezer,11,2002
A Flock Of Seagulls,Wishing (I Had A Photograph Of You),2020-12-12 20:16:00,W,Wishing,4,1983
Bruce Springsteen,Highway Patrolman,2020-12-12 20:20:00,H,Highway,7,1982
My Morning Jacket,Dondante,2020-12-12 20:27:00,D,Dondante,7,2005
Mary Chapin Carpenter,Down At The Twist & Shout,2020-12-12 20:34:00,D,Down,4,1990
Steely Dan,FM,2020-12-12 20:38:00,F,FM,6,1972
Tower Of Power,What Is Hip,2020-12-12 20:44:00,W,What,5,1973
John Hiatt,Real Fine Love,2020-12-12 20:49:00,R,Real,6,1990
Otis Redding,Change Gonna Come,2020-12-12 20:55:00,C,Change,5,1965
Laura Marling,Held Down,2020-12-12 21:00:00,H,Held,4,2020
Crosby Stills Nash & Young,Helpless,2020-12-12 21:04:00,H,Helpless,3,1970
Tim Moore,Second Avenue,2020-12-12 21:07:00,S,Second,6,1997
Jethro Tull,Locomotive Breath,2020-12-12 21:13:00,L,Locomotive,4,1978
Joni Mitchell,For Free,2020-12-12 21:17:00,F,For,5,1970
Dawes,Time Spent In Los Angeles,2020-12-12 21:22:00,T,Time,4,2011
Willie Nelson,Stardust,2020-12-12 21:26:00,S,Stardust,6,1978
Supertramp,Take The Long Way Home,2020-12-12 21:32:00,T,Take,5,1979
The National,Fake Empire,2020-12-12 21:37:00,F,Fake,4,2007
Jimmy Cliff,Sitting In Limbo,2020-12-12 21:41:00,S,Sitting,5,1971
Crosby Stills & Nash,Cathedral,2020-12-12 21:46:00,C,Cathedral,6,1977
Led Zeppelin,How Many More Times,2020-12-12 21:52:00,H,How,9,1969
Patsy Cline,Walkin' After Midnight,2020-12-12 22:01:00,W,Walkin',2,1961
Muddy Waters,Got My Mojo Working,2020-12-12 22:03:00,G,Got,4,1983
Crosby Stills Nash & Young,Carry On,2020-12-12 22:07:00,C,Carry,4,1970
Jackson Browne,Your Bright Baby Blues,2020-12-12 22:11:00,Y,Your,8,1976
Eric Clapton,The Core,2020-12-12 22:19:00,T,The,8,1977
The Doobie Brothers,Listen To The Music,2020-12-12 22:27:00,L,Listen,5,1972
Bob Dylan,Blind Willie McTell,2020-12-12 22:32:00,B,Blind,7,1991
The Breeders,Cannonball,2020-12-12 22:39:00,C,Cannonball,3,1993
John Coltrane,Giant Steps,2020-12-12 22:42:00,G,Giant,4,1960
Dr. Dog,Shadow People,2020-12-12 22:46:00,S,Shadow,6,2010
Fleetwood Mac,Oh Well,2020-12-12 22:52:00,O,Oh,9,1972
The Cult,She Sells Sanctuary,2020-12-12 23:01:00,S,She,5,1985
Earth Wind & Fire,Fantasy,2020-12-12 23:06:00,F,Fantasy,6,1988
Billy Joel,Goodnight Saigon,2020-12-12 23:12:00,G,Goodnight,5,1982
Elvis Costello,(Angels Want To Wear My) Red Shoes,2020-12-12 23:17:00,(,(,3,0
Black Sabbath,Paranoid,2020-12-12 23:20:00,P,Paranoid,3,1980
Bruce Springsteen,Prove It All Night,2020-12-12 23:23:00,P,Prove,4,1978
The Pixies,Gigantic,2020-12-12 23:27:00,G,Gigantic,3,0
Blur,Song 2,2020-12-12 23:30:00,S,Song,4,1997
The Isley Brothers,This Old Heart Of Mine (Is Weak For You),2020-12-12 23:34:00,T,This,3,1969
Derek & The Dominos,Little Wing,2020-12-12 23:37:00,L,Little,5,1970
Jefferson Starship,Miracles,2020-12-12 23:42:00,M,Miracles,4,1975
The Rolling Stones,Hand Of Fate,2020-12-12 23:46:00,H,Hand,5,1976
Procol Harum,Conquistador,2020-12-12 23:51:00,C,Conquistador,5,1972
New Order,True Faith,2020-12-12 23:56:00,T,True,4,1987
Bob Dylan,Ballad Of A Thin Man,2020-12-13 00:00:00,B,Ballad,6,1965
Bo Diddley,Bo Diddley,2020-12-13 00:06:00,B,Bo,3,1955
The Who,I Can See For Miles,2020-12-13 00:09:00,I,I,5,1968
The War On Drugs,Red Eyes,2020-12-13 00:14:00,R,Red,4,2014
The Supremes,You Can't Hurry Love,2020-12-13 00:18:00,Y,You,3,1977
Steve Winwood,Higher Love,2020-12-13 00:21:00,H,Higher,6,1991
Steely Dan,The Royal Scam,2020-12-13 00:27:00,T,The,6,1975
Paul Simon,Me And Julio Down By The Schoolyard,2020-12-13 00:33:00,M,Me,3,1972
Outkast,B.O.B. (Bombs Over Baghdad),2020-12-13 00:36:00,B,B,6,2000
Midnight Oil,Beds Are Burning,2020-12-13 00:42:00,B,Beds,4,1987
Mel Carter,"Hold Me, Thrill Me, Kiss Me",2020-12-13 00:46:00,H,Hold,2,1965
The Lovin' Spoonful,Do You Believe In Magic?,2020-12-13 00:48:00,D,Do,4,1965
The Beatles,I Want You (She's So Heavy),2020-12-13 00:52:00,I,I,8,1969
Thunderclap Newman,Something In The Air,2020-12-13 01:00:00,S,Something,4,1970
The Replacements,Unsatisfied,2020-12-13 01:04:00,U,Unsatisfied,4,1984
Lake Street Dive,Bad Self Portraits,2020-12-13 01:08:00,B,Bad,5,2014
Grateful Dead,Bertha,2020-12-13 01:13:00,B,Bertha,6,1995
The Left Banke,Pretty Ballerina,2020-12-13 01:19:00,P,Pretty,2,1966
Frank Sinatra,"Theme From New York, New York",2020-12-13 01:21:00,T,Theme,4,1980
David Bowie,Sound And Vision,2020-12-13 01:25:00,S,Sound,3,1971
XTC,Mayor Of Simpleton,2020-12-13 01:28:00,M,Mayor,5,1984
Tom Waits,Grapefruit Moon,2020-12-13 01:33:00,G,Grapefruit,5,1973
The Raspberries,Go All The Way,2020-12-13 01:38:00,G,Go,3,1972
The Raspberries,Overnight Sensation (Hit Record),2020-12-13 01:41:00,O,Overnight,6,1991
LP,Lost On You,2020-12-13 01:47:00,L,Lost,5,2016
Leonard Cohen,Dance Me To The End Of Love,2020-12-13 01:52:00,D,Dance,4,1984
Joy Division,Transmission,2020-12-13 01:56:00,T,Transmission,4,1981
Isaac Hayes,Walk On By,2020-12-13 02:00:00,W,Walk,12,1969
The Highwomen,Crowded Table,2020-12-13 02:12:00,C,Crowded,5,2019
Dr. Dre,"Nuthin' But A ""G"" Thang",2020-12-13 02:17:00,N,Nuthin',4,1992
The Bobby Fuller Four,Let Her Dance,2020-12-13 02:21:00,L,Let,3,1965
The Beatles,I Don't Want To Spoil The Party,2020-12-13 02:24:00,I,I,2,1964
The Rolling Stones,Doo Doo Doo Doo Doo (Heartbreaker),2020-12-13 02:26:00,D,Doo,4,1973
Lucinda Williams,Sweet Old World,2020-12-13 02:30:00,S,Sweet,4,1992
The Who,Substitute,2020-12-13 02:34:00,S,Substitute,5,1975
The Beach Boys,Feel Flows,2020-12-13 02:39:00,F,Feel,5,1971
The Cars,Drive,2020-12-13 02:44:00,D,Drive,4,1991
Bob Marley & The Wailers,Trenchtown Rock,2020-12-13 02:48:00,T,Trenchtown,4,1988
The Eagles,The Last Resort,2020-12-13 02:52:00,T,The,9,0
Paul Simon,The Boy In The Bubble,2020-12-13 03:01:00,T,The,4,1986
Creedence Clearwater Revival,I Heard It Through The Grapevine,2020-12-13 03:05:00,I,I,11,1970
Bright Eyes,First Day Of My Life,2020-12-13 03:16:00,F,First,3,2004
The Bobby Fuller Four,I Fought The Law,2020-12-13 03:19:00,I,I,3,1965
Kraftwerk,Autobahn,2020-12-13 03:22:00,A,Autobahn,24,1974
Lucinda Williams,Changed The Locks,2020-12-13 03:46:00,C,Changed,4,1988
Pink Floyd,One Of These Days,2020-12-13 03:50:00,O,One,6,1971
Wilco,Heavy Metal Drummer,2020-12-13 03:56:00,H,Heavy,4,2002
Bob Dylan,Just Like Tom Thumb's Blues,2020-12-13 04:00:00,J,Just,5,1965
The Beatles,Octopus's Garden,2020-12-13 04:05:00,O,Octopus's,3,1969
Pink Floyd,Money,2020-12-13 04:08:00,M,Money,6,1973
The Beatles,With A Little Help From My Friends,2020-12-13 04:14:00,W,With,4,1967
The Beach Boys,Darlin',2020-12-13 04:18:00,D,Darlin',2,1967
The Beatles,Day Tripper,2020-12-13 04:20:00,D,Day,3,1965
Steely Dan,Any Major Dude Will Tell You,2020-12-13 04:23:00,A,Any,3,1974
Elvis Presley,Burning Love,2020-12-13 04:26:00,B,Burning,4,1973
Rage Against The Machine,Killing In The Name,2020-12-13 04:30:00,K,Killing,4,1991
NRBQ,Ridin' In My Car,2020-12-13 04:34:00,R,Ridin',3,1977
Radiohead,Weird Fishes/Arpeggi,2020-12-13 04:37:00,W,Weird,6,2007
The New Pornographers,The Bleeding Heart Show,2020-12-13 04:43:00,T,The,4,2005
a-ha,Take On Me,2020-12-13 04:47:00,T,Take,5,1985
Elton John,Come Down In Time,2020-12-13 04:52:00,C,Come,3,1970
Steely Dan,Doctor Wu,2020-12-13 04:55:00,D,Doctor,5,1975
Weather Report,Birdland,2020-12-13 05:00:00,B,Birdland,6,1979
The Rolling Stones,2000 Light Years From Home,2020-12-13 05:06:00,2,2000,6,1967
Quicksilver Messenger Service,Fresh Air,2020-12-13 05:12:00,F,Fresh,5,1970
The Pretenders,Middle Of The Road,2020-12-13 05:17:00,M,Middle,4,1983
Neil Young,Only Love Can Break Your Heart,2020-12-13 05:21:00,O,Only,4,1969
The Killers,When You Were Young,2020-12-13 05:25:00,W,When,3,2006
Jason Isbell,24 Frames,2020-12-13 05:28:00,2,24,5,2015
Gary Jules,Mad World,2020-12-13 05:33:00,M,Mad,3,2001
Echo & The Bunnymen,The Killing Moon,2020-12-13 05:36:00,T,The,6,1983
The Crystals,Then He Kissed Me,2020-12-13 05:42:00,T,Then,3,1989
Chuck Prophet,Summertime Thing,2020-12-13 05:45:00,S,Summertime,5,2002
Bruce Springsteen,Tunnel Of Love,2020-12-13 05:50:00,T,Tunnel,5,1987
Talking Heads,Take Me To The River,2020-12-13 05:55:00,T,Take,5,1978
Willie Nelson,Blue Eyes Crying In The Rain,2020-12-13 06:00:00,B,Blue,3,1990
Bruce Cockburn,Pacing The Cage,2020-12-13 06:03:00,P,Pacing,4,1996
Arlo Guthrie,City Of New Orleans,2020-12-13 06:07:00,C,City,6,1973
Simon & Garfunkel,Mrs. Robinson,2020-12-13 06:13:00,M,Mrs,4,1968
The Mamas & The Papas,California Dreamin',2020-12-13 06:17:00,C,California,3,1983
T Rex,Life Is Strange,2020-12-13 06:20:00,L,Life,2,1973
The Platters,The Great Pretender,2020-12-13 06:22:00,T,The,5,1972
The Kinks,Catch Me Now I'm Falling,2020-12-13 06:27:00,C,Catch,5,1979
Jackson Browne,You Love The Thunder,2020-12-13 06:32:00,Y,You,6,1977
Free,All Right Now,2020-12-13 06:38:00,A,All,5,1971
The Cure,Boys Don't Cry,2020-12-13 06:43:00,B,Boys,3,1986
Black Pumas,Black Moon Rising,2020-12-13 06:46:00,B,Black,4,2018
Van Morrison,Jackie Wilson Said (I'm In Heaven When You Smile),2020-12-13 06:50:00,J,Jackie,4,1972
Patsy Cline,I Fall To Pieces,2020-12-13 06:54:00,I,I,3,1987
Mayer Hawthorne,Just Ain't Gonna Work Out,2020-12-13 06:57:00,J,Just,3,2008
The Thompson Twins,Hold Me Now,2020-12-13 07:00:00,H,Hold,4,1992
Billie Holiday,God Bless The Child,2020-12-13 07:04:00,G,God,6,1950
Richie Havens,Freedom,2020-12-13 07:10:00,F,Freedom,6,1970
Elvis Presley,In The Ghetto,2020-12-13 07:16:00,I,In,4,1970
The Rolling Stones,Street Fighting Man,2020-12-13 07:20:00,S,Street,3,1977
The Rolling Stones,Waiting On A Friend,2020-12-13 07:23:00,W,Waiting,5,1981
Nina Simone,I Put A Spell On You,2020-12-13 07:28:00,I,I,2,1965
Tori Amos,Cornflake Girl,2020-12-13 07:30:00,C,Cornflake,6,1994
Chris Isaak,Wicked Game,2020-12-13 07:36:00,W,Wicked,4,1985
The Monkees,Randy Scouse Git,2020-12-13 07:40:00,R,Randy,3,1967
Spoon,The Underdog,2020-12-13 07:43:00,T,The,4,2007
Dolly Parton,Coat of Many Colors,2020-12-13 07:47:00,C,Coat,4,1971
Erykah Badu,On & On,2020-12-13 07:51:00,O,On,4,1997
The Avett Brothers,Laundry Room,2020-12-13 07:55:00,L,Laundry,5,2009
Jackson Browne,The Load Out / Stay,2020-12-13 08:00:00,T,The,9,1987
Buddy Holly,Not Fade Away,2020-12-13 08:09:00,N,Not,4,1971
David Bowie,Blackstar,2020-12-13 08:13:00,B,Blackstar,10,2015
The Clash,The Guns Of Brixton,2020-12-13 08:23:00,T,The,5,1979
Funkadelic,One Nation Under A Groove,2020-12-13 08:28:00,O,One,7,1978
Robin Trower,Bridge Of Sighs,2020-12-13 08:35:00,B,Bridge,7,1974
Radiohead,Reckoner,2020-12-13 08:42:00,R,Reckoner,5,2007
The Beatles,Eight Days A Week,2020-12-13 08:47:00,E,Eight,2,1964
Simon & Garfunkel,Kathy's Song,2020-12-13 08:49:00,K,Kathy's,5,1966
The Kinks,Better Things,2020-12-13 08:54:00,B,Better,3,1981
The Spencer Davis Group,Gimme Some Lovin',2020-12-13 08:57:00,G,Gimme,3,1976
Warren Zevon,The French Inhaler,2020-12-13 09:00:00,T,The,4,1976
The Velvet Underground,Oh Sweet Nuthin',2020-12-13 09:04:00,O,Oh,9,1970
John Coltrane,Blue Train,2020-12-13 09:13:00,B,Blue,13,1978
Aretha Franklin,Chain Of Fools,2020-12-13 09:26:00,C,Chain,2,1967
The Smiths,Heaven Knows I'm Miserable Now,2020-12-13 09:28:00,H,Heaven,4,1984
Four Tops,Reach Out I'll Be There,2020-12-13 09:32:00,R,Reach,3,1968
Paul McCartney & Wings,Band On The Run,2020-12-13 09:35:00,B,Band,6,1973
The Notorious B. I. G,Juicy,2020-12-13 09:41:00,J,Juicy,5,0
EDITH PIAF,"Non, je ne regrette rien",2020-12-13 09:46:00,N,Non,4,1989
